,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,558,6,18,15,17,11,0,0
02_STROMA,9,412,148,1,52,3,0,0
03_COMPLEX,46,109,386,54,26,4,0,0
04_LYMPHO,8,10,126,476,5,0,0,0
05_DEBRIS,48,224,12,10,309,2,12,8
06_MUCOSA,22,1,15,3,1,582,1,0
07_ADIPOSE,1,1,0,0,8,4,605,6
08_EMPTY,0,0,0,0,24,0,148,453
