,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,554,6,13,18,16,16,0,2
02_STROMA,5,417,143,1,54,4,1,0
03_COMPLEX,25,124,391,70,10,5,0,0
04_LYMPHO,8,8,132,471,5,1,0,0
05_DEBRIS,67,214,10,9,295,2,26,2
06_MUCOSA,19,3,15,4,0,583,1,0
07_ADIPOSE,0,0,0,0,7,5,605,8
08_EMPTY,0,0,0,0,9,0,145,471
