,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,572,6,28,5,3,9,2,0
02_STROMA,0,411,173,2,36,0,3,0
03_COMPLEX,39,88,444,49,4,1,0,0
04_LYMPHO,0,2,63,551,1,8,0,0
05_DEBRIS,3,225,32,2,355,2,5,1
06_MUCOSA,10,1,3,9,0,602,0,0
07_ADIPOSE,0,6,0,0,6,0,605,8
08_EMPTY,0,0,0,0,0,0,586,39
