,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,555,5,19,17,16,13,0,0
02_STROMA,8,384,171,1,52,8,1,0
03_COMPLEX,35,96,409,73,8,4,0,0
04_LYMPHO,5,4,168,443,4,1,0,0
05_DEBRIS,66,210,10,22,293,5,18,1
06_MUCOSA,17,1,16,5,0,585,1,0
07_ADIPOSE,0,0,0,0,12,7,598,8
08_EMPTY,0,0,0,0,13,0,112,500
