,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,574,4,25,7,4,11,0,0
02_STROMA,4,406,151,1,62,0,1,0
03_COMPLEX,17,122,434,48,4,0,0,0
04_LYMPHO,2,3,70,547,1,2,0,0
05_DEBRIS,25,222,25,3,338,1,10,1
06_MUCOSA,20,1,6,5,1,592,0,0
07_ADIPOSE,0,4,0,0,5,1,599,16
08_EMPTY,1,0,0,0,1,0,118,505
