,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,563,4,31,4,0,23,0,0
02_STROMA,0,400,144,2,75,3,1,0
03_COMPLEX,22,113,446,34,6,4,0,0
04_LYMPHO,4,1,58,554,1,7,0,0
05_DEBRIS,8,219,10,1,376,1,9,1
06_MUCOSA,7,0,1,9,4,604,0,0
07_ADIPOSE,0,3,0,0,12,1,592,17
08_EMPTY,1,0,0,0,2,0,37,585
