,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,604,3,15,2,0,1,0,0
02_STROMA,0,455,127,1,41,0,1,0
03_COMPLEX,16,99,460,39,11,0,0,0
04_LYMPHO,1,4,72,547,1,0,0,0
05_DEBRIS,2,230,12,1,377,0,3,0
06_MUCOSA,1,0,0,1,1,622,0,0
07_ADIPOSE,0,1,0,0,4,0,615,5
08_EMPTY,0,0,0,0,2,0,317,306
