,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,601,1,17,5,0,1,0,0
02_STROMA,0,455,132,1,35,0,2,0
03_COMPLEX,14,79,483,43,6,0,0,0
04_LYMPHO,0,2,67,556,0,0,0,0
05_DEBRIS,1,227,13,3,378,0,3,0
06_MUCOSA,1,0,1,1,0,622,0,0
07_ADIPOSE,0,1,0,0,2,0,617,5
08_EMPTY,0,1,0,0,4,0,153,467
