,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,600,1,19,4,0,1,0,0
02_STROMA,0,449,131,0,43,0,2,0
03_COMPLEX,14,88,470,47,6,0,0,0
04_LYMPHO,0,2,73,549,1,0,0,0
05_DEBRIS,0,229,19,0,373,0,4,0
06_MUCOSA,2,0,1,1,0,621,0,0
07_ADIPOSE,0,1,0,0,3,0,615,6
08_EMPTY,0,0,0,0,2,0,222,401
