,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,564,7,11,13,23,7,0,0
02_STROMA,12,418,144,1,47,3,0,0
03_COMPLEX,50,117,364,76,17,1,0,0
04_LYMPHO,5,8,152,449,10,1,0,0
05_DEBRIS,59,226,8,17,290,0,22,3
06_MUCOSA,23,1,11,6,0,582,2,0
07_ADIPOSE,1,0,0,0,6,4,607,7
08_EMPTY,0,0,0,0,24,0,122,479
