,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,581,6,17,11,2,8,0,0
02_STROMA,3,426,108,0,85,0,3,0
03_COMPLEX,21,112,416,56,15,4,1,0
04_LYMPHO,1,7,50,559,1,7,0,0
05_DEBRIS,2,220,20,0,369,0,10,4
06_MUCOSA,4,0,8,5,0,608,0,0
07_ADIPOSE,0,4,0,0,8,0,599,14
08_EMPTY,0,0,0,0,0,0,73,552
