,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,583,3,24,5,4,6,0,0
02_STROMA,2,384,169,3,62,2,3,0
03_COMPLEX,27,84,463,36,12,3,0,0
04_LYMPHO,1,5,72,543,0,4,0,0
05_DEBRIS,4,210,44,2,356,0,8,1
06_MUCOSA,8,1,11,5,0,599,0,1
07_ADIPOSE,0,4,0,0,7,0,605,9
08_EMPTY,0,0,0,0,2,0,125,498
