,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,556,5,13,17,19,13,0,2
02_STROMA,9,406,144,1,62,3,0,0
03_COMPLEX,32,101,414,66,8,4,0,0
04_LYMPHO,4,5,163,444,8,1,0,0
05_DEBRIS,92,219,10,17,259,1,17,10
06_MUCOSA,20,0,18,5,0,581,1,0
07_ADIPOSE,0,0,0,0,10,7,601,7
08_EMPTY,0,0,0,0,13,0,116,496
