,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,555,5,22,14,17,10,0,2
02_STROMA,6,406,160,1,48,3,1,0
03_COMPLEX,33,95,416,56,22,3,0,0
04_LYMPHO,5,8,146,459,6,1,0,0
05_DEBRIS,78,237,12,15,273,1,8,1
06_MUCOSA,16,0,19,2,1,586,1,0
07_ADIPOSE,0,0,0,0,8,4,609,4
08_EMPTY,0,0,0,0,9,0,107,509
