model,seed,label,class_name,image_count,source_group_count,accuracy
ResNet18,73,3,04_LYMPHO,625,10,0.8448
ResNet18,73,4,05_DEBRIS,625,10,0.5408
ResNet18,73,5,06_MUCOSA,625,8,0.9584
ResNet18,73,6,07_ADIPOSE,625,6,0.9552
ResNet18,73,7,08_EMPTY,625,2,0.9504
ResNet18,89,0,01_TUMOR,625,10,0.9184
ResNet18,89,1,02_STROMA,625,10,0.6496
ResNet18,89,2,03_COMPLEX,625,10,0.6944
ResNet18,89,3,04_LYMPHO,625,10,0.8752
ResNet18,89,4,05_DEBRIS,625,10,0.5408
ResNet18,89,5,06_MUCOSA,625,8,0.9472
ResNet18,89,6,07_ADIPOSE,625,6,0.9584
ResNet18,89,7,08_EMPTY,625,2,0.808
ResNet18,101,0,01_TUMOR,625,10,0.9232
ResNet18,101,1,02_STROMA,625,10,0.6624
ResNet18,101,2,03_COMPLEX,625,10,0.7184
ResNet18,101,3,04_LYMPHO,625,10,0.8512
ResNet18,101,4,05_DEBRIS,625,10,0.5808
ResNet18,101,5,06_MUCOSA,625,8,0.9552
ResNet18,101,6,07_ADIPOSE,625,6,0.968
ResNet18,101,7,08_EMPTY,625,2,0.9184
ResNet18,131,0,01_TUMOR,625,10,0.9296
ResNet18,131,1,02_STROMA,625,10,0.6816
ResNet18,131,2,03_COMPLEX,625,10,0.6656
ResNet18,131,3,04_LYMPHO,625,10,0.8944
ResNet18,131,4,05_DEBRIS,625,10,0.5904
ResNet18,131,5,06_MUCOSA,625,8,0.9728
ResNet18,131,6,07_ADIPOSE,625,6,0.9584
ResNet18,131,7,08_EMPTY,625,2,0.8832
ResNet18,151,0,01_TUMOR,625,10,0.9152
ResNet18,151,1,02_STROMA,625,10,0.6576
ResNet18,151,2,03_COMPLEX,625,10,0.7104
ResNet18,151,3,04_LYMPHO,625,10,0.8816
ResNet18,151,4,05_DEBRIS,625,10,0.568
ResNet18,151,5,06_MUCOSA,625,8,0.9632
ResNet18,151,6,07_ADIPOSE,625,6,0.968
ResNet18,151,7,08_EMPTY,625,2,0.0624
ResNet18,181,0,01_TUMOR,625,10,0.9072
ResNet18,181,1,02_STROMA,625,10,0.6608
ResNet18,181,2,03_COMPLEX,625,10,0.6752
ResNet18,181,3,04_LYMPHO,625,10,0.8688
ResNet18,181,4,05_DEBRIS,625,10,0.5776
ResNet18,181,5,06_MUCOSA,625,8,0.9616
ResNet18,181,6,07_ADIPOSE,625,6,0.9696
ResNet18,181,7,08_EMPTY,625,2,0.9456
UNI,11,0,01_TUMOR,625,10,0.96
UNI,11,1,02_STROMA,625,10,0.7184
UNI,11,2,03_COMPLEX,625,10,0.752
UNI,11,3,04_LYMPHO,625,10,0.8784
UNI,11,4,05_DEBRIS,625,10,0.5968
UNI,11,5,06_MUCOSA,625,8,0.9936
UNI,11,6,07_ADIPOSE,625,6,0.984
