,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,574,2,28,8,5,8,0,0
02_STROMA,0,420,141,6,55,1,2,0
03_COMPLEX,20,102,460,35,8,0,0,0
04_LYMPHO,1,3,57,547,2,15,0,0
05_DEBRIS,1,240,23,0,355,1,4,1
06_MUCOSA,9,0,4,6,0,606,0,0
07_ADIPOSE,0,4,0,0,7,1,595,18
08_EMPTY,0,0,0,0,2,0,6,617
