,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,602,2,16,4,0,1,0,0
02_STROMA,0,444,145,1,35,0,0,0
03_COMPLEX,14,104,454,48,5,0,0,0
04_LYMPHO,2,10,64,548,1,0,0,0
05_DEBRIS,1,227,9,3,379,0,6,0
06_MUCOSA,2,0,0,3,1,619,0,0
07_ADIPOSE,0,1,0,0,3,0,615,6
08_EMPTY,0,0,0,0,3,0,341,281
