,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,577,3,27,7,3,8,0,0
02_STROMA,0,414,138,2,68,0,3,0
03_COMPLEX,17,99,449,50,10,0,0,0
04_LYMPHO,1,0,73,532,1,18,0,0
05_DEBRIS,3,235,11,0,363,0,9,4
06_MUCOSA,11,4,5,8,0,597,0,0
07_ADIPOSE,0,6,0,0,3,0,605,11
08_EMPTY,0,1,0,0,1,0,49,574
