comparison,model_a,model_b,comparison_target,subgroup,metric,pair_count,source_group_count,model_a_mean,model_b_mean,mean_paired_difference,wilcoxon_statistic,wilcoxon_p_value,paired_bootstrap_ci_low,paired_bootstrap_ci_high,hierarchical_bootstrap_ci_low,hierarchical_bootstrap_ci_high,confidence_level,bootstrap_iterations,wilcoxon_p_holm,significant_holm_0.05,wilcoxon_p_display,wilcoxon_p_holm_display
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,attribution_occlusion_spearman,270,10,0.06239217183802866,0.05210162997476834,0.010290541863260318,17455.5,0.5145770868229169,-0.027386900080538505,0.04760401256617061,-0.0561381713613469,0.07715251356300828,0.95,5000,0.5145770868229169,False,p = 0.5146,p = 0.5146
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_target_logit_auc,272,10,2.1087474441610325,1.7663633930325673,0.3423840511284652,12149.0,7.807106179242531e-07,0.213695679742617,0.4745518480212109,0.07011713754466711,0.5605318052302154,0.95,5000,2.3421318537727594e-06,True,p < 0.0001,p < 0.0001
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,random_target_logit_auc,272,10,1.6183478615566855,2.0352985381756508,-0.4169506766189657,11120.0,9.893103107389444e-09,-0.5428952834784372,-0.28921773707419235,-0.6670163603925439,-0.21696708204782691,0.95,5000,1.9786206214778887e-08,True,p < 0.0001,p < 0.0001
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,bottom_target_logit_auc,272,10,2.5350434735098935,2.2282070998047647,0.3068363737051294,12855.0,1.10038263816993e-05,0.1770154896057691,0.44017414929403453,-0.06505899406044802,0.6213663424560706,0.95,5000,2.20076527633986e-05,True,p < 0.0001,p < 0.0001
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_minus_random_target_logit_auc,272,10,0.4903995826043469,-0.2689351451430839,0.7593347277474308,4511.0,2.705734931398392e-27,0.647284917433075,0.8688698076987329,0.5712344885800559,0.9311585640879054,0.95,5000,5.411469862796784e-27,True,p < 0.0001,p < 0.0001
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_margin_auc,272,10,0.9138406673227163,0.3981049580006477,0.5157357093220686,12304.0,1.430090139406479e-06,0.32067975207163457,0.7128407301857846,0.24841883122802827,0.7838139562734799,0.95,5000,2.860180278812958e-06,True,p < 0.0001,p < 0.0001
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_minus_random_margin_auc,272,10,0.40447647535492093,-0.3672167867764595,0.7716932621313805,8158.0,1.1143615450802257e-15,0.6048577874555866,0.9468894165729308,0.53933004518877,1.0475238395886046,0.95,5000,2.2287230901604514e-15,True,p < 0.0001,p < 0.0001
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_5_target_logit_drop,272,10,0.5629449074211366,0.3693031693931998,0.19364173802793683,14967.0,0.005605380865980202,0.01691190072674288,0.3630633038117698,-0.07138940416423392,0.4764111569713112,0.95,5000,0.011210761731960403,True,p = 0.0056,p = 0.0112
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_10_target_logit_drop,272,10,1.056109758802717,0.49141971662859707,0.5646900421741199,11568.0,7.142420880899727e-08,0.3517339291598012,0.7776769139208171,0.26100856587730104,0.9015121594477966,0.95,5000,2.1427262642699182e-07,True,p < 0.0001,p < 0.0001
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_20_target_logit_drop,272,10,1.8014861024738125,0.7775420177221188,1.0239440847516936,9607.0,5.2851995663910094e-12,0.7566502221437129,1.29099258097909,0.6289636979691203,1.440666024623195,0.95,5000,1.585559869917303e-11,True,p < 0.0001,p < 0.0001
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_30_target_logit_drop,272,10,2.4167438182459375,1.1390727170715655,1.277671101174372,9187.0,5.155514977803986e-13,0.9649367091526718,1.5838214884282718,0.7621409618948072,1.8288556310569128,0.95,5000,1.5466544933411957e-12,True,p < 0.0001,p < 0.0001
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_5_margin_drop,272,10,0.5425154097816524,0.2520541176199913,0.29046129216166106,15771.0,0.031487100281357844,0.06944128403111416,0.5088275237611549,0.015085301733716895,0.6021651876144536,0.95,5000,0.06297420056271569,False,p = 0.0315,p = 0.0630
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_10_margin_drop,272,10,1.0522442915860344,0.41380833461880684,0.6384359569672275,13171.0,3.280064415167639e-05,0.3480484061984017,0.9320121768862007,0.26575569861640735,1.0118606354378992,0.95,5000,6.560128830335277e-05,True,p < 0.0001,p < 0.0001
ResNet18 - DINOv2,ResNet18,DINOv2,true_class,all,top_20_margin_drop,272,10,1.809082648552516,0.7944206981097951,1.0146619504427208,12709.0,6.5171340886384475e-06,0.639284685593756,1.3876168904497341,0.5043221309781074,1.5372468257757028,0.95,5000,1.919967346509247e-05,True,p < 0.0001,p < 0.0001
