model,Attribution-occlusion Spearman,Relative target-logit top-minus-random AUC,Fraction: top deletion beats random
ResNet18,0.009916989251896186,-0.09586632573037525,0.15508021390374332
DINOv2,0.04932616946243166,0.06078773028461013,0.732620320855615
UNI,0.1280555067632342,0.0951043459331076,0.9679144385026738
