model,pairwise_prediction_agreement_mean,pairwise_prediction_agreement_std,pairwise_prediction_agreement_median,mean_predicted_class_spearman_same_prediction_mean,mean_predicted_class_spearman_same_prediction_std,mean_predicted_class_spearman_same_prediction_median,mean_common_true_class_spearman_mean,mean_common_true_class_spearman_std,mean_common_true_class_spearman_median
ResNet18,0.8748366013071895,0.20303934185582537,1.0,0.6955484290965713,0.15641184721370702,0.7231408684780695,0.6624362521086171,0.17905429035306658,0.7011514864308016
DINOv2,0.9277777777777778,0.1670011676755919,1.0,0.988175329866305,0.010081978021227393,0.9905877319039031,0.9879128699733282,0.01102423814234982,0.9906026291813095
UNI,0.9467320261437909,0.13974678968152646,1.0,0.9238652112725121,0.042704872862115266,0.9292158940889907,0.9257320444659113,0.04317121502254167,0.9319629431884693
