cohort_id,case_id,class_name,seed,true_class,top_minus_random_target_logit_auc_intervention,top_minus_random_margin_auc_intervention,top_5_target_logit_drop_intervention,top_5_margin_drop_intervention,top_10_target_logit_drop_intervention,top_10_margin_drop_intervention,top_20_target_logit_drop_intervention,top_20_margin_drop_intervention,top_30_target_logit_drop_intervention,top_30_margin_drop_intervention,top_minus_random_target_logit_auc_gradient,top_minus_random_margin_auc_gradient,top_5_target_logit_drop_gradient,top_5_margin_drop_gradient,top_10_target_logit_drop_gradient,top_10_margin_drop_gradient,top_20_target_logit_drop_gradient,top_20_margin_drop_gradient,top_30_target_logit_drop_gradient,top_30_margin_drop_gradient,top_minus_random_target_logit_auc_raw_difference,top_minus_random_target_logit_auc_oriented_improvement,top_minus_random_margin_auc_raw_difference,top_minus_random_margin_auc_oriented_improvement,top_5_target_logit_drop_raw_difference,top_5_target_logit_drop_oriented_improvement,top_5_margin_drop_raw_difference,top_5_margin_drop_oriented_improvement,top_10_target_logit_drop_raw_difference,top_10_target_logit_drop_oriented_improvement,top_10_margin_drop_raw_difference,top_10_margin_drop_oriented_improvement,top_20_target_logit_drop_raw_difference,top_20_target_logit_drop_oriented_improvement,top_20_margin_drop_raw_difference,top_20_margin_drop_oriented_improvement,top_30_target_logit_drop_raw_difference,top_30_target_logit_drop_oriented_improvement,top_30_margin_drop_raw_difference,top_30_margin_drop_oriented_improvement
bbe13df2388dd5ee,CRC-Prim-HE-01,02_STROMA,41,1,-0.0278316795825959,-0.0310137398540973,-0.2189328670501709,-0.3041610717773437,0.103137731552124,-0.4758169651031494,0.0913805961608886,-0.4030983448028564,-0.245720624923706,-0.5747637748718262,-0.3920224308967589,-0.3699212916195392,-0.1351854801177978,-0.3616015911102295,0.2705140113830566,-0.2257821559906005,0.4018187522888183,-0.3055157661437988,0.5694581270217896,-0.1119874715805053,0.364190751314163,-0.364190751314163,0.3389075517654419,-0.3389075517654419,-0.0837473869323731,-0.0837473869323731,0.0574405193328858,0.0574405193328858,-0.1673762798309326,-0.1673762798309326,-0.25003480911254894,-0.25003480911254894,-0.3104381561279297,-0.3104381561279297,-0.09758257865905762,-0.09758257865905762,-0.8151787519454956,-0.8151787519454956,-0.46277630329132086,-0.46277630329132086
1d514ba294e8641b,CRC-Prim-HE-02,02_STROMA,41,1,-0.4455332681536675,-0.4897235333919525,1.2696032226085665,-0.1167683601379394,1.173202320933342,-0.3249659538269043,0.919219858944416,-0.0223002433776855,1.012447439134121,0.0420925617218017,-0.6164172502234578,-0.6634955048561098,0.9984151758253574,0.0349128246307373,1.4572142362594604,0.4935677051544189,1.3613353371620178,0.3892273902893066,1.31528440117836,0.2830290794372558,0.17088398206979033,-0.17088398206979033,0.17377197146415724,-0.17377197146415724,0.27118804678320907,0.27118804678320907,-0.1516811847686767,-0.1516811847686767,-0.28401191532611847,-0.28401191532611847,-0.8185336589813232,-0.8185336589813232,-0.4421154782176018,-0.4421154782176018,-0.4115276336669921,-0.4115276336669921,-0.30283696204423904,-0.30283696204423904,-0.2409365177154541,-0.2409365177154541
3ead2e85ebb55c2b,CRC-Prim-HE-02,03_COMPLEX,41,2,-0.3737015694379808,-0.5293053746223448,0.3936126232147217,-0.0038454532623291,0.4386513233184814,0.2768337726593017,1.0080794095993042,1.3345558643341064,1.441030979156494,1.893359661102295,-0.507892417907715,-0.708802753686905,0.7797654867172241,0.7657468318939209,1.0298781394958496,1.4459691047668457,1.3681540489196775,1.680781364440918,1.740711748600006,2.25266695022583,0.13419084846973423,-0.13419084846973423,0.1794973790645602,-0.1794973790645602,-0.38615286350250244,-0.38615286350250244,-0.76959228515625,-0.76959228515625,-0.5912268161773682,-0.5912268161773682,-1.169135332107544,-1.169135332107544,-0.3600746393203733,-0.3600746393203733,-0.3462255001068115,-0.3462255001068115,-0.2996807694435122,-0.2996807694435122,-0.35930728912353516,-0.35930728912353516
5b7e03f7d327429c,CRC-Prim-HE-02,04_LYMPHO,41,3,-0.6305133640766143,-0.6262989133596419,0.003208041191101,-0.1814967393875122,0.2977359890937805,0.0883212089538574,0.9048557877540588,0.7323734760284424,1.274906873703003,1.061349630355835,-0.4649120317772031,-0.4821134954690933,0.0580966472625732,0.0739111900329589,0.0468912124633789,0.071728229522705,0.689999520778656,0.5916154384613037,0.4401354789733886,-0.0360910892486572,-0.1656013322994112,0.1656013322994112,-0.14418541789054862,0.14418541789054862,-0.0548886060714722,-0.0548886060714722,-0.2554079294204711,-0.2554079294204711,0.2508447766304016,0.2508447766304016,0.0165929794311524,0.0165929794311524,0.21485626697540283,0.21485626697540283,0.14075803756713867,0.14075803756713867,0.8347713947296143,0.8347713947296143,1.0974407196044922,1.0974407196044922
82816ea16f256d92,CRC-Prim-HE-02,04_LYMPHO,41,3,-0.6472926933318377,-0.6810884296894073,0.283166229724884,-0.0260405540466308,0.6274320781230927,0.2198169231414795,0.9453774727880956,0.4598062038421631,1.1250031292438507,0.5824565887451172,-0.6029152531176806,-0.6784551620483399,0.4011822342872619,0.2911844253540039,0.6359128654003143,0.4138474464416504,0.9532547630369664,0.6032228469848633,0.9483017362654208,0.5044093132019043,-0.04437744021415713,0.04437744021415713,-0.002633267641067416,0.002633267641067416,-0.11801600456237793,-0.11801600456237793,-0.3172249794006347,-0.3172249794006347,-0.00848078727722168,-0.00848078727722168,-0.1940305233001709,-0.1940305233001709,-0.00787729024887085,-0.00787729024887085,-0.1434166431427002,-0.1434166431427002,0.1767013929784299,0.1767013929784299,0.07804727554321289,0.07804727554321289
e32905663da3594c,CRC-Prim-HE-02,05_DEBRIS,41,4,-0.1791323035955427,-0.0090772956609725,0.4596408605575561,0.185245394706726,0.536273717880249,0.3273720741271972,0.2405722141265869,-0.1073781251907348,0.7081449031829834,0.4200183153152466,-0.2869962394237518,-0.2470680117607116,0.5188344717025757,0.5474497079849243,0.6086229085922241,0.4626926183700561,0.6971086859703064,0.5675561428070068,0.8161619901657104,0.7678933143615723,0.1078639358282091,-0.1078639358282091,0.2379907160997391,-0.2379907160997391,-0.05919361114501959,-0.05919361114501959,-0.36220431327819835,-0.36220431327819835,-0.0723491907119751,-0.0723491907119751,-0.1353205442428589,-0.1353205442428589,-0.4565364718437195,-0.4565364718437195,-0.6749342679977416,-0.6749342679977416,-0.10801708698272705,-0.10801708698272705,-0.3478749990463257,-0.3478749990463257
13605a3e685f4114,CRC-Prim-HE-03,02_STROMA,41,1,-0.5296181283891201,-0.9156602382659912,-0.5215303897857666,-0.867861270904541,0.2142828106880188,0.1279802322387695,0.6995043829083443,1.1470122337341309,1.3425864577293396,1.945180892944336,-0.6028715097345412,-0.6486302852630619,0.50516077876091,0.0897097587585449,0.765977781265974,0.1236867904663086,0.7550141289830208,0.1170506477355957,1.6078943014144895,1.4438214302062988,0.07325338134542103,-0.07325338134542103,-0.2670299530029293,0.2670299530029293,-1.0266911685466766,-1.0266911685466766,-0.9575710296630859,-0.9575710296630859,-0.5516949705779552,-0.5516949705779552,0.00429344177246091,0.00429344177246091,-0.055509746074676514,-0.055509746074676514,1.0299615859985352,1.0299615859985352,-0.2653078436851499,-0.2653078436851499,0.5013594627380371,0.5013594627380371
4aad1550b23a673f,CRC-Prim-HE-03,03_COMPLEX,41,2,-0.2613959163427352,0.0771622538566592,0.1599000692367553,-0.1578626632690429,0.3443235158920288,-0.0967493057250976,0.6802409887313843,-0.1167802810668945,0.4938772916793823,-0.6872637271881104,-0.4963836669921873,-0.3657632231712342,0.626944899559021,0.737971305847168,0.8588823080062866,0.9212055206298828,0.8853899240493774,0.1660313606262207,1.0152767300605774,0.0694861412048339,0.2349877506494521,-0.2349877506494521,0.4429254770278934,-0.4429254770278934,-0.46704483032226574,-0.46704483032226574,-0.8958339691162109,-0.8958339691162109,-0.5145587921142578,-0.5145587921142578,-1.0179548263549805,-1.0179548263549805,-0.20514893531799316,-0.20514893531799316,-0.28281164169311523,-0.28281164169311523,-0.5213994383811951,-0.5213994383811951,-0.7567498683929442,-0.7567498683929442
f4dc756790902f42,CRC-Prim-HE-03,04_LYMPHO,41,3,-0.4312430176883936,-0.1128743648529053,1.441454291343689,1.247897386550903,1.980785846710205,1.3881568908691406,2.156733065843582,1.4206056594848633,2.1535191237926483,1.0127084255218506,-1.2280652675777677,-1.3322485983371737,1.5842165350914,1.2624719142913818,2.3738009929656982,1.856642484664917,3.730552911758423,3.2531931400299072,4.4469428062438965,4.407666444778442,0.796822249889374,-0.796822249889374,1.2193742334842683,-1.2193742334842683,-0.14276224374771096,-0.14276224374771096,-0.014574527740478738,-0.014574527740478738,-0.39301514625549316,-0.39301514625549316,-0.46848559379577637,-0.46848559379577637,-1.5738198459148407,-1.5738198459148407,-1.832587480545044,-1.832587480545044,-2.293423682451248,-2.293423682451248,-3.394958019256592,-3.394958019256592
6465c9036d58a3a9,CRC-Prim-HE-03,04_LYMPHO,41,3,-0.5241467356681824,-0.3745858550071715,1.1790008544921875,1.182936668395996,1.754390001296997,1.507166862487793,2.1487291753292084,1.806706428527832,2.156667560338974,1.5049803256988523,-0.7932138539850712,-0.7458604872226714,1.225515842437744,1.3384523391723633,2.034487098455429,2.1046321392059326,2.261514246463776,1.9826302528381348,2.6680538654327397,2.171168327331543,0.2690671183168888,-0.2690671183168888,0.3712746322154999,-0.3712746322154999,-0.04651498794555642,-0.04651498794555642,-0.1555156707763672,-0.1555156707763672,-0.280097097158432,-0.280097097158432,-0.5974652767181396,-0.5974652767181396,-0.1127850711345677,-0.1127850711345677,-0.17592382431030273,-0.17592382431030273,-0.5113863050937657,-0.5113863050937657,-0.6661880016326907,-0.6661880016326907
