class_name,method,top_minus_random_target_logit_auc_count,top_minus_random_target_logit_auc_mean,top_minus_random_margin_auc_count,top_minus_random_margin_auc_mean,top_5_target_logit_drop_count,top_5_target_logit_drop_mean,top_5_margin_drop_count,top_5_margin_drop_mean,top_10_target_logit_drop_count,top_10_target_logit_drop_mean,top_10_margin_drop_count,top_10_margin_drop_mean,top_20_target_logit_drop_count,top_20_target_logit_drop_mean,top_20_margin_drop_count,top_20_margin_drop_mean,top_30_target_logit_drop_count,top_30_target_logit_drop_mean,top_30_margin_drop_count,top_30_margin_drop_mean
01_TUMOR,gradient_attention_rollout,6,-0.7025002457201482,6,-0.7664570063352585,6,0.8468761816620827,6,1.1896437605222066,6,1.146371419231097,6,1.5194393197695415,6,1.5335850963989894,6,1.6100953022638957,6,1.7735003729661305,6,1.5364216168721516
01_TUMOR,intervention_activation_patch,6,-0.5839755174393456,6,-0.7535707632700602,6,0.7113244297603766,6,0.970969577630361,6,0.9425982932249705,6,1.178902765115102,6,1.3322846318284671,6,1.5287164449691772,6,1.4280420591433842,6,1.5352571407953899
02_STROMA,gradient_attention_rollout,8,-0.5045468233955035,8,-0.4813757940195501,8,0.5380429388023913,8,0.11427314579486847,8,0.8759387671016157,8,0.4225774109363556,8,1.0345523395444616,8,0.5170401930809021,8,1.369007732719183,8,0.8202619105577469
02_STROMA,intervention_activation_patch,8,-0.3869073617272079,8,-0.3977092719636857,8,0.25318568572402,8,-0.15040853619575498,8,0.5030350219458342,8,0.053087756037712104,8,0.8718399181962013,8,0.5235950499773026,8,1.1605259431526065,8,0.7465347349643707
03_COMPLEX,gradient_attention_rollout,8,-0.5419910483527928,8,-0.6626076634973288,8,0.6561735048890114,8,0.7252170294523239,8,0.8754971660673618,8,1.0294308364391327,8,1.3848210386931894,8,1.2850094735622406,8,1.6797997392714024,8,1.6089624017477036
03_COMPLEX,intervention_activation_patch,8,-0.39785577645525333,8,-0.4209916710853576,8,0.35970166325569153,8,0.20500768721103668,8,0.6546762064099312,8,0.4583726078271866,8,0.9512049444019794,8,0.7601999342441559,8,1.3232347294688225,8,1.1778637617826462
04_LYMPHO,gradient_attention_rollout,9,-0.6865659807912178,9,-0.6621626393662559,9,0.7225852012634277,9,0.5780369705624051,9,1.082502630021837,9,0.8831748962402344,9,1.707226003623671,9,1.241675403383043,9,1.8912883769306872,9,1.1899949179755316
04_LYMPHO,intervention_activation_patch,9,-0.5116242621507909,9,-0.4636078036493725,9,0.5472714304924011,9,0.37883900271521675,9,0.9302751620610555,9,0.6003014246622721,9,1.3503097034990788,9,0.9024807082282172,9,1.525663332806693,9,0.8828739590115018
05_DEBRIS,gradient_attention_rollout,7,-0.29065791097070487,7,-0.42955896428653156,7,0.4075720203774316,7,0.39302189009530203,7,0.4016533132110323,7,0.5315259865352085,7,0.5067674709217889,7,0.5693051644733974,7,0.7838719125304904,7,0.7065571887152535
05_DEBRIS,intervention_activation_patch,7,-0.13541792369048508,7,-0.0745022373540061,7,0.15534128887312754,7,0.06358814239501952,7,0.2989704523767744,7,0.07031212534223284,7,0.3203102775982448,7,-0.006200075149536117,7,0.41123302068029133,7,-0.16718663488115584
06_MUCOSA,gradient_attention_rollout,3,-1.4992382677892842,3,-1.8476733227570852,3,2.6313952455917993,3,3.4353920618693032,3,3.7029722531636557,3,4.868300278981526,3,4.314909756183624,3,5.1242930094401045,3,4.962740520636241,3,5.577084859212239
06_MUCOSA,intervention_activation_patch,3,-1.1865724542488654,3,-1.233793677886327,3,2.3807349329193435,3,3.0170180002848306,3,2.804544359445572,3,3.3730541865030923,3,3.84820948044459,3,4.151511828104655,3,4.301923016707103,3,4.46480671564738
07_ADIPOSE,gradient_attention_rollout,5,-0.20157844886183734,5,-0.14867777913808816,5,-0.010077011585235574,5,0.2177260398864746,5,0.10860712528228758,5,0.4330810546875,5,0.19485319256782532,5,0.2990368366241455,5,0.5068133175373077,5,0.3335815429687501
07_ADIPOSE,intervention_activation_patch,5,-0.26738051578402516,5,-0.18512955814599982,5,0.1381611704826355,5,0.13164708614349366,5,0.1635013222694397,5,0.18794691562652588,5,0.3269608855247498,5,0.2244020938873291,5,0.5071034148335457,5,0.3294095754623413
08_EMPTY,gradient_attention_rollout,9,1.37603850341402,9,1.6146988298537004,9,-2.6480093583878546,9,-3.37023287680414,9,-3.4962896061026387,9,-4.344196531507704,9,-4.095045416098502,9,-4.912298374705845,9,-4.2957746007790165,9,-4.898470626937018
08_EMPTY,intervention_activation_patch,9,-0.4646883797935314,9,-0.3681748079549935,9,-0.3311015336463849,9,-0.5412558383411832,9,-0.23573307196299234,9,-0.43003596862157184,9,-0.07598405496941672,9,-0.3731660114394294,9,0.019706210949354697,9,-0.3155127962430318
