model,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,source_macro_accuracy_mean,source_macro_accuracy_std,source_macro_accuracy_min,source_macro_accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max
ResNet18,0.8065200000000001,0.03358388502441807,0.7158,0.8348,0.8049679115113395,0.016423186254875936,0.7621938459951292,0.8188051957423829,0.8065200000000001,0.033583885024418114,0.7158,0.8348,0.804778676047239,0.0431236944716052,0.6859558505115919,0.8366741626344973
DINOv2,0.75508,0.0062568717778490645,0.7486,0.7684,0.7593020794653049,0.004460217939990127,0.7525569140968926,0.7669588742220951,0.75508,0.006256871777849079,0.7485999999999999,0.7684,0.753617881744473,0.007242233523775351,0.7457285646491933,0.7682486656509173
UNI,0.8169000000000001,0.019778832680980473,0.7884,0.8446,0.8314356984256671,0.010539546755786423,0.8146209411901001,0.8451577189398721,0.8169000000000001,0.019778832680980473,0.7884,0.8446,0.8164654837242601,0.021812173072463106,0.7852604833587619,0.8458139301953891
