model,image_count,source_group_count,attribution_occlusion_spearman_mean,attribution_occlusion_spearman_std,attribution_occlusion_spearman_median,top_minus_random_target_logit_auc_mean,top_minus_random_target_logit_auc_std,top_minus_random_target_logit_auc_median,top_minus_random_margin_auc_mean,top_minus_random_margin_auc_std,top_minus_random_margin_auc_median,top_5_target_logit_drop_mean,top_5_target_logit_drop_std,top_5_target_logit_drop_median,top_5_margin_drop_mean,top_5_margin_drop_std,top_5_margin_drop_median,top_10_target_logit_drop_mean,top_10_target_logit_drop_std,top_10_target_logit_drop_median,top_10_margin_drop_mean,top_10_margin_drop_std,top_10_margin_drop_median,top_20_target_logit_drop_mean,top_20_target_logit_drop_std,top_20_target_logit_drop_median,top_20_margin_drop_mean,top_20_margin_drop_std,top_20_margin_drop_median,top_30_target_logit_drop_mean,top_30_target_logit_drop_std,top_30_target_logit_drop_median,top_30_margin_drop_mean,top_30_margin_drop_std,top_30_margin_drop_median
ResNet18,272,10,0.06239217183802866,0.2431065962821683,0.06882834352014915,0.4903995826043469,0.8555489478956041,0.432519662939012,0.4044764753549209,1.2316203897673008,0.30639759618788953,0.5629449074211366,1.072132292631813,0.5601728558540344,0.5425154097816524,1.4729346736721725,0.35854864120483393,1.056109758802717,1.3410339013635644,1.0179942846298218,1.0522442915860344,1.890965976266728,0.7429888248443604,1.8014861024738125,1.6843759086558285,1.6838843822479248,1.809082648552516,2.509088005217203,1.5522651672363281,2.4167438182459375,1.9556562947929232,2.137554407119751,2.3831194803556977,2.9860965970836073,1.8647282123565674
DINOv2,272,10,0.05121399760179355,0.1903050164708609,0.0570241216361593,-0.2689351451430839,0.544343090997716,-0.2383729696273802,-0.3672167867764595,0.8092225030813501,-0.30859059169888475,0.3693031693931998,1.0069969358420618,0.2979087829589844,0.2520541176199913,1.198393742481823,0.21491479873657227,0.49141971662859707,1.3297051303478207,0.3590676784515381,0.41380833461880684,1.7651672602200836,0.29250192642211914,0.7775420177221188,1.7388262122560159,0.620758056640625,0.7944206981097951,2.2520361433873775,0.6702548265457153,1.1390727170715655,1.970689874506498,1.1534149646759033,1.3045126997372682,2.7419292074869337,1.3422269821166992
UNI,272,10,0.1530889757388255,0.20413989193641616,0.17168994891982564,-0.5341712626209996,0.5734193044177471,-0.51559231877327,-0.7337534815223669,0.8888928227260178,-0.6223415333777664,0.5313970082343611,0.9470171694277993,0.568403959274292,0.6526111113455366,1.3050659204601431,0.6134366989135742,0.7773339046124259,1.2085578249676834,0.8378592729568481,0.9848808876293547,1.7000663616574876,0.9062234163284302,1.187195192959788,1.4904912942896666,1.1309846639633179,1.4756128825247288,2.0827567152222137,1.3364598751068115,1.6128732836908004,1.7243425108220352,1.6339480876922607,2.0344276333994724,2.5734378991964624,1.8076075315475464
