model,true_class,class_name,attribution_occlusion_spearman_count,attribution_occlusion_spearman_mean,attribution_occlusion_spearman_std,top_minus_random_target_logit_auc_count,top_minus_random_target_logit_auc_mean,top_minus_random_target_logit_auc_std,top_minus_random_margin_auc_count,top_minus_random_margin_auc_mean,top_minus_random_margin_auc_std,top_5_target_logit_drop_count,top_5_target_logit_drop_mean,top_5_target_logit_drop_std,top_5_margin_drop_count,top_5_margin_drop_mean,top_5_margin_drop_std,top_10_target_logit_drop_count,top_10_target_logit_drop_mean,top_10_target_logit_drop_std,top_10_margin_drop_count,top_10_margin_drop_mean,top_10_margin_drop_std,top_20_target_logit_drop_count,top_20_target_logit_drop_mean,top_20_target_logit_drop_std,top_20_margin_drop_count,top_20_margin_drop_mean,top_20_margin_drop_std,top_30_target_logit_drop_count,top_30_target_logit_drop_mean,top_30_target_logit_drop_std,top_30_margin_drop_count,top_30_margin_drop_mean,top_30_margin_drop_std
DINOv2,0,01_TUMOR,34,-0.06923531614910704,0.17333632169708876,34,0.20351872513591154,0.5024368172169166,34,0.19312215111327957,0.7635759288207985,34,-0.31588608508600907,0.9092956711198328,34,-0.3597935403094572,1.0140202101324094,34,-0.48270101012552485,1.1525548002933341,34,-0.5063365908230052,1.6468101754606137,34,-0.6215760440510862,1.8209835056972539,34,-0.6424957145662868,2.199428549414017,34,-0.45873259095584645,2.130078532805563,34,-0.3496129793279311,2.849589467894938
DINOv2,1,02_STROMA,34,0.09745033533724158,0.1617956314102866,34,-0.1994805984144264,0.36229365796265456,34,-0.2838063535444877,0.4647583850269348,34,0.1192498759859625,0.4013692896978791,34,-0.13211420003105612,0.6949458666878205,34,0.188795586280963,0.6004451477088136,34,-0.11073033599292532,0.9164871727592425,34,0.2708870225640781,0.8963128637743216,34,-0.02487851241055657,1.2642137777999352,34,0.3398835155017236,1.1392529820831552,34,0.2472214418299058,1.649797936186018
DINOv2,2,03_COMPLEX,34,0.07792358645918344,0.19273639698156805,34,-0.31795064473305557,0.2954153624980202,34,-0.5352153934538365,0.5515403834836464,34,0.6632346673046842,0.4135712484604712,34,0.766115286770989,0.7069168467819953,34,0.8792064343305195,0.509680575574334,34,0.9280730503446916,0.9795798095670991,34,1.3775119593038279,0.7901062749135745,34,1.6715813594705917,1.5662433388641837,34,1.830561479224878,0.8743692831529619,34,2.5137640518300675,1.7873795501681122
DINOv2,3,04_LYMPHO,34,0.06713768678107712,0.10868271684137339,34,-0.42140341713914986,0.41709346563902366,34,-0.5576369929064372,0.5047640362975618,34,-0.18842808201032527,0.6428113046471008,34,-0.3807016646160799,0.7079740290220222,34,0.1386831472901737,0.8238880426473374,34,0.07942273686913882,0.8451718451953528,34,0.7774523286258473,1.0677963009714475,34,0.984380676465876,1.2553772822771747,34,1.2854131786700558,1.1947505267288343,34,1.6312462757615482,1.6709377268564711
DINOv2,4,05_DEBRIS,34,-0.11981528261441243,0.17894686618309424,34,-0.03955361574121251,0.30125554321305026,34,-0.1334188908365939,0.629240278302301,34,-0.018125318867318774,0.6495831128401334,34,0.19711686232510733,0.8354414964690005,34,-0.16295107936157896,0.8630774610393807,34,0.029850917703965158,1.2623489098316907,34,-0.3781512231730363,1.2592034591710086,34,-0.21527326457640705,1.7616870330395011,34,-0.4436239058918813,1.3758390698282734,34,-0.42880918348536773,2.071580800525671
DINOv2,5,06_MUCOSA,34,0.20551207260957838,0.1526262284475466,34,-0.6272504072444622,0.4704900176315696,34,-0.8815141431535319,0.5345821702424627,34,0.4891034715315875,0.5839455683047167,34,0.8266471939928391,0.7143868759768324,34,0.8744967777062865,1.0275951290724872,34,1.3442773994277506,1.0644413866982665,34,1.4810269514427465,1.4611785898803888,34,2.2432997279307423,1.589565805877274,34,2.2829185018644615,1.7246342588764036,34,3.302374440080979,1.8924402765503927
DINOv2,6,07_ADIPOSE,34,0.06026277041519257,0.20569709955655682,34,-0.8519602563286967,0.5610671735332053,34,-1.209956799485885,0.9020196485066576,34,0.7741144264445585,0.9530163748001136,34,0.7157401126973769,1.4208290634331737,34,1.2848202410866232,1.633022215502549,34,1.4633851927869461,2.474365335671455,34,1.9887291228069979,1.9796950002265306,34,2.3173634865704704,2.680593400151706,34,2.735103811520864,1.9997160695886556,34,3.382348772357492,3.1938215456767223
DINOv2,7,08_EMPTY,34,0.09047612797559475,0.14182279618884938,34,0.10259905332042014,0.47029418091566405,34,0.4706921280558163,0.5858390836124031,34,1.4311623998424585,1.6206369946830685,34,0.3834228901302113,2.0614303900163486,34,1.2110076358213144,2.0725107849275184,34,0.08252430663389317,2.7707638043611538,34,1.3244560242575758,2.2244203964975795,34,0.021387825993930586,2.915669586376994,34,1.54105774663827,2.115780616828993,34,0.137568778851453,2.8621080079084678
ResNet18,0,01_TUMOR,33,0.13393100168941735,0.21985749953500272,34,0.6392784294549047,0.7820076997185409,34,0.8600450255065774,1.0832135165885342,34,0.2765257796820472,0.9766101435056967,34,0.07842935884700099,1.1813489563857678,34,0.5425837460686179,1.1700453949791367,34,0.22392165310242598,1.5185678193636167,34,1.15057491905549,1.485258443267977,34,0.5650185802403618,1.902369654641724,34,1.9394914930795921,1.928446177736623,34,1.2374114499372595,2.802877150092201
ResNet18,1,02_STROMA,34,0.08320943107164928,0.18913076987245228,34,0.09986651773386476,0.6270179315864289,34,0.038842726082486276,1.0907196660990077,34,0.8637754391221439,0.8018878753975021,34,0.8195273280143738,1.2059098782505575,34,1.562005475793472,0.8568171969376237,34,1.505846332101261,1.5770563946033092,34,2.3545164007912662,1.058951772391665,34,2.129800733397989,2.047065952133274,34,2.98853635283954,1.3356136297947316,34,2.7302354048280155,2.588854752575708
