cohort_id,model,five_repeat_auc,twenty_repeat_auc,absolute_difference
05ec55e971259ba8,DINOv2,0.0085257494479706,0.0096166313750759,0.001090881927105299
a06e84f10dd02759,DINOv2,0.2599807490088321,0.2059793735940067,0.054001375414825414
a9d9432c0d68ed0a,DINOv2,0.4037791877932979,0.447318168920534,0.04353898112723609
eaf3ad0d094266c7,DINOv2,-0.3128828370938779,-0.2815314470229745,0.03135139007090337
93eff4e2a3b4b436,DINOv2,0.135870957208562,0.1374939280760366,0.0016229708674746213
39f8deff00e87441,DINOv2,0.0255445582504925,0.0255038995740216,4.06586764708991e-05
3461675807569ebd,DINOv2,0.0064459404109306,-0.0010970516308081,0.0075429920417387
7cbabdfbfb2a3c84,DINOv2,0.0508170781456295,0.0411871786111813,0.009629899534448205
fcb8ce7d834df3b9,DINOv2,0.1005454991922017,0.0924452424580097,0.008100256734191999
23c05114b1f1297a,DINOv2,-0.1026751926659479,-0.0498211102261143,0.052854082439833604
d9b66e01e9e8bd36,DINOv2,0.0984095712332173,0.0979903649278952,0.00041920630532209235
7fbe4f5d5ceb71bf,DINOv2,0.0088250753796322,0.003653987808847,0.005171087570785201
0c403259b484b95d,DINOv2,0.1016168903601604,0.0980777520560591,0.003539138304101297
b37b8b23cb98ecbb,DINOv2,-0.0110877923395202,-0.0178605469271374,0.0067727545876172
935e673920be3e3e,DINOv2,0.1066984901051348,0.1054251902100291,0.0012732998951057034
d345f3e6315b1134,DINOv2,0.1731536332257853,0.1789891422792517,0.005835509053466387
05ec55e971259ba8,ResNet18,0.0818776683124839,0.0939339627755019,0.012056294463017994
a06e84f10dd02759,ResNet18,0.3725830316559935,0.3515481127532587,0.02103491890273479
a9d9432c0d68ed0a,ResNet18,0.1133503858404479,0.1426345996839057,0.029284213843457807
eaf3ad0d094266c7,ResNet18,0.2462026302888489,0.2527396544355264,0.006537024146677478
93eff4e2a3b4b436,ResNet18,0.3004817734736682,0.3138451955677576,0.013363422094089361
39f8deff00e87441,ResNet18,0.1714761467760304,0.179134454077281,0.007658307301250611
3461675807569ebd,ResNet18,0.2572388353012874,0.2365886844244015,0.020650150876885875
7cbabdfbfb2a3c84,ResNet18,0.1119199091313963,0.1247404163845124,0.012820507253116106
fcb8ce7d834df3b9,ResNet18,0.3769493676146241,0.392423724870978,0.015474357256353877
23c05114b1f1297a,ResNet18,0.3825425934520741,0.3727849612661035,0.009757632185970588
d9b66e01e9e8bd36,ResNet18,0.3496143678004115,0.346116816397713,0.0034975514026984733
7fbe4f5d5ceb71bf,ResNet18,-0.0134627925605103,-0.0173142451575573,0.0038514525970469986
0c403259b484b95d,ResNet18,0.2683977613094997,0.2667058360450214,0.0016919252644783112
b37b8b23cb98ecbb,ResNet18,0.8055373949476317,0.8178258082181596,0.012288413270527987
935e673920be3e3e,ResNet18,0.2854869826239798,0.2906443783811446,0.005157395757164784
d345f3e6315b1134,ResNet18,0.2855449452952109,0.295690952709646,0.01014600741443511
05ec55e971259ba8,UNI,0.0588168580000987,0.0574701724741906,0.001346685525908095
a06e84f10dd02759,UNI,0.041380970988479,0.0381995347935697,0.0031814361949093
a9d9432c0d68ed0a,UNI,0.0371309350051738,0.0511557383795263,0.014024803374352496
eaf3ad0d094266c7,UNI,-0.0016602153826472,0.006912806258725,0.0085730216413722
93eff4e2a3b4b436,UNI,0.0023584793021706,0.0108920154734057,0.0085335361712351
39f8deff00e87441,UNI,0.0210404197864009,0.0185432514280829,0.0024971683583180013
3461675807569ebd,UNI,0.0546605826936338,0.0621443257797722,0.007483743086138396
7cbabdfbfb2a3c84,UNI,0.0255191954724702,0.0235791139640283,0.0019400815084418994
fcb8ce7d834df3b9,UNI,0.0334855150363185,0.023263247240051,0.010222267796267497
23c05114b1f1297a,UNI,0.0566352507431462,0.0479752275175734,0.0086600232255728
d9b66e01e9e8bd36,UNI,-0.0176321187196056,-0.011790779972797,0.005841338746808599
7fbe4f5d5ceb71bf,UNI,-0.0180720061214045,-0.024470532402962,0.006398526281557501
0c403259b484b95d,UNI,0.0007662870402853,0.0030516817559193,0.002285394715634
b37b8b23cb98ecbb,UNI,0.1538823895030238,0.1423538832487906,0.011528506254233184
935e673920be3e3e,UNI,-0.1634678324752329,-0.1124607689457657,0.051007063529467184
d345f3e6315b1134,UNI,0.0453506354419717,0.050909728036814,0.005559092594842295
