epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,learning_rate
1.0,0.9110312012559741,1.0872030900085479,0.6541911537271884,0.6312384473197782,0.6301675547045638,0.5377308106432075,0.001
2.0,0.6480793949438992,1.3158109182020212,0.766470770182493,0.5711645101663586,0.7546298310778734,0.5170563315765413,0.001
3.0,0.5491790219132022,0.8826286678173185,0.8097742035261367,0.6377079482439926,0.7981656078512147,0.5653283781137837,0.001
4.0,0.5421083494490821,0.9970018699930467,0.7970924837612124,0.5988909426987061,0.7822997639199826,0.51805420575664,0.001
5.0,0.47615395025907564,0.8310350687854171,0.8277141973399319,0.6682070240295749,0.8160369873393665,0.5774177129240718,0.001
6.0,0.5093221625343698,0.9903243134924092,0.8181255799566965,0.6682070240295749,0.8083215312068968,0.574993631907329,0.001
7.0,0.4406657820141725,1.1589412630540827,0.8407052273430251,0.5951940850277264,0.8277607448236932,0.5155657512880683,0.001
8.0,0.4016697795406569,1.1736423613954603,0.8502938447262605,0.5609981515711645,0.8400688322458457,0.46240099802887585,0.0005
9.0,0.3955334670820953,0.6928441260636624,0.8601917723476648,0.7171903881700554,0.8466976041718711,0.6354369361124408,0.0005
10.0,0.3503147439528205,0.6732402910201254,0.8772038354469532,0.7338262476894639,0.8691306260952493,0.6458135437085284,0.0005
11.0,0.3499192310087533,0.9501537902903865,0.8700896999690689,0.609981515711645,0.8618058303805283,0.5224106595165402,0.0005
12.0,0.3356612239723194,0.936706188095255,0.8787503866377977,0.6497227356746765,0.871534874729105,0.5837739417057379,0.0005
13.0,0.3536726030593976,0.876726749699129,0.8685431487782246,0.6820702402957486,0.8579630912172795,0.5515577583327773,0.00025
14.0,0.3164516218741759,0.7637959559088273,0.8920507268790597,0.6802218114602587,0.8837368860053925,0.5863829386844004,0.00025
15.0,0.29685021192526767,0.6959577652172989,0.8926693473553975,0.7070240295748613,0.8835268517854571,0.6181367600178167,0.00025
16.0,0.29288028018820444,0.7270501305016925,0.899164862356944,0.6848428835489834,0.8911164667588812,0.5960761812496969,0.000125
17.0,0.273370706837796,0.7861573685394417,0.9081348592638416,0.6746765249537893,0.9002261854057784,0.6012259293660581,0.000125
18.0,0.27157673316218706,0.6774719591336859,0.9047324466439839,0.7310536044362292,0.8974419820548355,0.6482940595471467,0.000125
19.0,0.2503319800296436,0.707021934983911,0.9143210640272194,0.7060998151571165,0.907319022931979,0.6074136842690079,0.000125
20.0,0.2597098450726339,0.616705781651072,0.9041138261676461,0.7467652495378928,0.8958432095279398,0.6552420372477237,0.000125
21.0,0.2519571223551741,0.6319834296341965,0.9078255490256727,0.7402957486136784,0.8995063881316192,0.6452075969071629,0.000125
22.0,0.24808270727799028,0.7211230098099453,0.9140117537890504,0.7033271719038817,0.9076783420654494,0.6175393907226288,0.000125
23.0,0.2544672874762036,0.7750011823809742,0.9140117537890504,0.7051756007393716,0.9066226395103001,0.6025010779990837,6.25e-05
24.0,0.24719150626655706,0.6337117762640532,0.917723476647077,0.744916820702403,0.9117174919961695,0.6582614497511696,6.25e-05
25.0,0.22728190199347276,0.621789748768379,0.922981750695948,0.743992606284658,0.9163424912448983,0.6482549121569885,6.25e-05
26.0,0.22195887538880119,0.6751844099621235,0.9226724404577792,0.7264325323475046,0.9154562570400148,0.633073503409102,6.25e-05
27.0,0.2365096423358988,0.6528954489945044,0.9140117537890504,0.7467652495378928,0.9081199529295754,0.6510956972416971,3.125e-05
28.0,0.21509434221478907,0.6451259279372291,0.928240024744819,0.7393715341959335,0.9235605233521452,0.6550922279053273,3.125e-05
29.0,0.2209552096631038,0.6601442545927827,0.9236003711722858,0.7402957486136784,0.9173836089642224,0.6527066868817049,3.125e-05
30.0,0.21873728875641185,0.6450550424523803,0.9214351995051037,0.7504621072088724,0.9158174094738606,0.6465925371689452,1.5625e-05
31.0,0.2267131857318182,0.6372617753618526,0.9192700278379214,0.7476894639556377,0.9122766373760034,0.6583315951115565,1.5625e-05
32.0,0.2143984379651854,0.6541194320275912,0.9220538199814414,0.744916820702403,0.9161285640043377,0.6543610452115728,1.5625e-05
33.0,0.21099711300564963,0.6572416453947642,0.9239096814104547,0.7402957486136784,0.9177083179987521,0.6448143503076107,1.5625e-05
34.0,0.22496032996919552,0.6770604413670666,0.9217445097432725,0.7356746765249538,0.9154457399312372,0.6437154654421752,7.8125e-06
35.0,0.21705468235888276,0.6428715110706534,0.9307145066501701,0.7486136783733827,0.9251830021299371,0.6549992978987795,7.8125e-06
36.0,0.20909076556678605,0.6756780978271569,0.9263841633158058,0.7347504621072088,0.9202593463902042,0.6449450296508716,7.8125e-06
37.0,0.21700601783738652,0.628266732127521,0.9236003711722858,0.7578558225508318,0.9167970666218337,0.6614226660871949,7.8125e-06
38.0,0.21005891067138074,0.6388290088465386,0.9270027837921435,0.743992606284658,0.9207709201524374,0.6551713667490016,7.8125e-06
39.0,0.21274927341454988,0.636028829872498,0.9300958861738323,0.7504621072088724,0.923249275803727,0.6562958811051987,7.8125e-06
40.0,0.21638705810267528,0.6357433975514114,0.9239096814104547,0.7569316081330869,0.917180208032019,0.6646376988431701,7.8125e-06
