epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,learning_rate
1.0,0.9240255285776919,1.7112619934152544,0.6637797711104237,0.38817005545286504,0.6390597878307469,0.33776649299191464,0.001
2.0,0.6624677027669293,1.0088588992020118,0.7568821527992576,0.544362292051756,0.7400027651944667,0.4772687203380792,0.001
3.0,0.6071364485992575,0.8918836450069978,0.787813176616146,0.6746765249537893,0.7746915789055864,0.5967937234260354,0.001
4.0,0.5567527899165439,1.1348306453767854,0.8023507578100835,0.5489833641404805,0.7874105518196483,0.4345089254893188,0.001
5.0,0.47100435625537057,0.9562653877502117,0.8345190225796474,0.6654343807763401,0.8236682999178004,0.6527161091037154,0.001
6.0,0.49480838711845077,1.1758527187234593,0.8212186823383854,0.5480591497227357,0.8117228065233181,0.4696674864889933,0.001
7.0,0.44064007908280994,0.7221648049800762,0.8468914321064027,0.7097966728280961,0.8382495962977219,0.6238927017745244,0.001
8.0,0.4013129349393517,0.7260339707824748,0.8549334982987937,0.6922365988909427,0.8432943581157347,0.609496600308457,0.0005
9.0,0.3715420600304543,0.9477727531890993,0.8694710794927312,0.6460258780036968,0.8599409138395614,0.5230249279617495,0.0005
10.0,0.3534707309354985,0.838156366373056,0.8725641818744201,0.6608133086876156,0.8619791951079316,0.560227194350749,0.0005
11.0,0.35560319539271307,0.7924310238050666,0.8741107330652644,0.6940850277264325,0.8651289329306577,0.5942106006382001,0.00025
12.0,0.3183690918199868,0.8657564532404246,0.8802969378286422,0.6293900184842883,0.872561554581527,0.5328733321391568,0.00025
13.0,0.31375766642094394,0.8869393420252474,0.8889576244973708,0.634011090573013,0.8803187967983424,0.5327001091405313,0.00025
