epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,learning_rate
1.0,0.9313822014575914,1.0555433375337429,0.6461490875347974,0.49722735674676527,0.6219743386439502,0.4300306574764504,0.001
2.0,0.6216733848167358,1.1605307914716039,0.7714197339931952,0.488909426987061,0.7563603324604337,0.38213798402932175,0.001
3.0,0.5330791436884744,1.026608629431059,0.8014228270955769,0.5914972273567468,0.7851762424245956,0.5599558421962078,0.001
4.0,0.45307280690611756,1.2553385897727198,0.8394679863903495,0.5508317929759704,0.8279086786417833,0.40942458702773044,0.001
5.0,0.4640578666118288,1.137044710229373,0.824930405196412,0.5656192236598891,0.8126790527184389,0.4610250010665302,0.001
6.0,0.43053391459664436,0.9229388356539326,0.8456541911537272,0.6571164510166358,0.8343647122562525,0.5635206646824071,0.001
7.0,0.42292842306738254,0.8439899328235337,0.8472007423445717,0.633086876155268,0.8353902247854768,0.5673889103232659,0.001
8.0,0.41508974277342653,1.2657720574664981,0.8502938447262605,0.55637707948244,0.8391587440977484,0.47533484635862494,0.001
9.0,0.39839382885854163,0.9198568585619689,0.8601917723476648,0.621996303142329,0.8489817443491846,0.542106395156344,0.001
10.0,0.37009965477438117,0.9782652005470615,0.8666872873492113,0.6589648798521257,0.8570087533971664,0.5850402348194513,0.001
11.0,0.346218887743034,0.8451735581686228,0.8793690071141355,0.6829944547134935,0.8693712201957505,0.5712722663785249,0.001
12.0,0.39170803229690077,2.443911345741004,0.8605010825858336,0.49815157116451014,0.8504365024155014,0.36565448416821256,0.001
13.0,0.3483472826714638,0.8511593091454832,0.8703990102072379,0.6765249537892791,0.8604425942816527,0.5954838653397627,0.001
14.0,0.34660453302108796,0.7845884891512654,0.8781317661614599,0.7255083179297597,0.8683943830830534,0.6053094272202113,0.001
15.0,0.34692439906117056,0.8949481794772439,0.8741107330652644,0.6728280961182994,0.8646756658954418,0.5748172531684276,0.001
16.0,0.33333666589914224,0.7930021956976152,0.8790596968759666,0.6959334565619224,0.8696123961946824,0.6997132358659821,0.001
17.0,0.3160945460721136,1.272248768597125,0.8867924528301887,0.5831792975970426,0.8781347925997731,0.5398508841337336,0.001
18.0,0.31798062518474085,1.1308017342236039,0.8871017630683575,0.6044362292051756,0.8790019268673475,0.5302982530706024,0.001
19.0,0.3028482814119801,0.7819213685398843,0.8954531394989174,0.7060998151571165,0.8873067629754168,0.6145415711157851,0.0005
20.0,0.2675870842436611,0.7281027046374825,0.9010207237859573,0.6987060998151571,0.8918954041419519,0.6033078468911237,0.0005
21.0,0.24690111781140064,0.6237051263589295,0.9130838230745437,0.7430683918669131,0.9065598158041552,0.6479294278558735,0.0005
22.0,0.25802144680161837,0.6212184201519723,0.9059696875966594,0.732902033271719,0.897002728976936,0.6358464911352724,0.00025
23.0,0.2383471761893238,0.6045405268669128,0.9195793380760903,0.7615526802218114,0.91373006756577,0.6632520704039812,0.00025
24.0,0.22758507955573934,0.6289997045191731,0.9245283018867925,0.7458410351201479,0.9185060136486553,0.6506803031700423,0.00025
