test,alternative,statistic,p_value,significant_at_0.05
Paired Wilcoxon signed-rank (primary),rgb_mask_reverse_mask > rgb,9.5,0.9755859375,False
Wilcoxon rank-sum (secondary),rgb_mask_reverse_mask > rgb,-0.9071147352221454,0.8178269366832236,False
