epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,learning_rate
1.0,1.034680982916266,1.1858483598104466,0.5858335910918652,0.47689463955637706,0.5585559565617461,0.4049621251484057,0.001
2.0,0.7964001557534227,1.6633429254048853,0.6919270027837922,0.2744916820702403,0.6741015938724498,0.21531144366647506,0.001
3.0,0.7086653766748597,0.9449907183206456,0.7296628518403959,0.6487985212569316,0.7112926942049914,0.5571479167375012,0.001
4.0,0.6682843502335529,1.109247251325967,0.7503866377977111,0.5646950092421442,0.7388742067277024,0.5527345028017628,0.001
5.0,0.6093495909344696,1.3911372939066173,0.7698731828023507,0.5582255083179297,0.7580067926696579,0.4566663030814263,0.001
6.0,0.6432794021114712,0.9684449638104042,0.7667800804206619,0.600739371534196,0.7535295676106546,0.5093024246468036,0.0005
7.0,0.5594925925416766,1.0054430257315556,0.803587998762759,0.5739371534195934,0.7931162774536339,0.5164830717778581,0.0005
8.0,0.5167364190965477,1.0782319137106982,0.8125579956696567,0.5730129390018485,0.8009819323647389,0.5076316742634812,0.0005
9.0,0.48849762035456007,0.9322649683947924,0.8243117847200743,0.5794824399260629,0.8126163534746067,0.5354334248174135,0.00025
10.0,0.45314675954853534,0.8350312423078058,0.8465821218682338,0.6358595194085028,0.8363319135424528,0.5633247715839867,0.00025
11.0,0.4410018584988562,0.9067174564640755,0.8366841942468296,0.6303142329020333,0.8255184998090928,0.5510908461521374,0.00025
12.0,0.4741305775993423,0.8196011355866346,0.8261676461490876,0.6377079482439926,0.8119125859645062,0.5656608127463689,0.00025
13.0,0.44597957542058375,0.789323597898545,0.8385400556758429,0.666358595194085,0.8273202810163532,0.5922827565489264,0.00025
14.0,0.4215174908059837,0.9717142089319978,0.848747293535416,0.6182994454713494,0.8364003956394911,0.5484740604137707,0.00025
15.0,0.42464526662729196,0.9226241809713642,0.8478193628209094,0.6247689463955638,0.8362928129460415,0.552995158820397,0.00025
16.0,0.41414908908521875,0.8951790986407046,0.8524590163934426,0.6127541589648798,0.8433751442281177,0.5407693199169356,0.000125
17.0,0.3907534429026284,0.8531452545176592,0.8580266006804825,0.6460258780036968,0.8470070282659996,0.574180158299707,0.000125
18.0,0.39937211061054956,0.8595397324747167,0.8481286730590782,0.6626617375231053,0.835754603750903,0.5744737288912758,0.000125
19.0,0.4062614385332443,0.9181009383937567,0.8493659140117538,0.6386321626617375,0.8369405545103108,0.5615851726432448,6.25e-05
20.0,0.3660368195285821,0.8607128245993595,0.8660686668728735,0.6626617375231053,0.8561665752480592,0.5847727194748537,6.25e-05
21.0,0.3765728199146423,0.8753360569366906,0.8685431487782246,0.6478743068391867,0.859153506080709,0.5727487289539308,6.25e-05
