component	version	context
R	4.3.1	local reporting smoke test, not the original GPU environment
dplyr	1.1.4	local reporting smoke test
tidyr	1.3.1	local reporting smoke test
ggplot2	3.5.2	local reporting smoke test
patchwork	1.3.1	local reporting smoke test
scales	1.4.0	local reporting smoke test
knitr	1.45	local reporting smoke test
rmarkdown	2.29	local reporting smoke test
