dataset,model,seed,fold,strategy,steps,tied_steps,archive_mismatches,affected_targets
kather,UNI,11,3,top,154,0,0,0
kather,UNI,11,4,bottom,231,0,0,0
kather,UNI,11,4,random,231,0,0,0
kather,UNI,11,4,top,231,0,0,0
kather,UNI,11,5,bottom,301,0,0,0
kather,UNI,11,5,random,301,0,0,0
kather,UNI,11,5,top,301,0,0,0
kather,UNI,11,6,bottom,161,0,0,0
kather,UNI,11,6,random,161,0,0,0
kather,UNI,11,6,top,161,0,0,0
kather,UNI,11,7,bottom,133,0,0,0
kather,UNI,11,7,random,133,0,0,0
kather,UNI,11,7,top,133,0,0,0
kather,UNI,11,8,bottom,161,0,0,0
kather,UNI,11,8,random,161,0,0,0
kather,UNI,11,8,top,161,0,0,0
kather,UNI,11,9,bottom,315,0,0,0
kather,UNI,11,9,random,315,0,0,0
kather,UNI,11,9,top,315,0,0,0
kather,UNI,181,0,bottom,154,0,0,0
kather,UNI,181,0,random,154,0,0,0
kather,UNI,181,0,top,154,0,0,0
kather,UNI,181,1,bottom,84,0,0,0
kather,UNI,181,1,random,84,0,0,0
kather,UNI,181,1,top,84,0,0,0
kather,UNI,181,2,bottom,182,0,0,0
kather,UNI,181,2,random,182,0,0,0
kather,UNI,181,2,top,182,0,0,0
kather,UNI,181,3,bottom,154,0,0,0
kather,UNI,181,3,random,154,0,0,0
kather,UNI,181,3,top,154,0,0,0
kather,UNI,181,4,bottom,245,0,0,0
kather,UNI,181,4,random,245,0,0,0
kather,UNI,181,4,top,245,0,0,0
kather,UNI,181,5,bottom,343,0,0,0
kather,UNI,181,5,random,343,0,0,0
kather,UNI,181,5,top,343,0,0,0
kather,UNI,181,6,bottom,175,0,0,0
kather,UNI,181,6,random,175,0,0,0
kather,UNI,181,6,top,175,0,0,0
kather,UNI,181,7,bottom,133,0,0,0
kather,UNI,181,7,random,133,0,0,0
kather,UNI,181,7,top,133,0,0,0
kather,UNI,181,8,bottom,147,0,0,0
kather,UNI,181,8,random,147,0,0,0
kather,UNI,181,8,top,147,0,0,0
kather,UNI,181,9,bottom,343,0,0,0
kather,UNI,181,9,random,343,0,0,0
kather,UNI,181,9,top,343,0,0,0
