class_name,model,attribution_occlusion_spearman,top_beats_random_target_logit,top_minus_random_relative_target_logit_reduction_auc
adipose,DINOv2,0.22934002465105,0.571428571428571,0.00836909795233497
adipose,ResNet18,-0.0590681063534731,0.238095238095238,-0.0617193293645354
adipose,UNI,-0.0868865779816332,0.476190476190476,-0.00485602278969484
background,DINOv2,0.146267345003489,0.738095238095238,0.0521045245020528
background,ResNet18,0.0218627217788546,0.380952380952381,-0.0115376894459029
background,UNI,-0.0715422372724718,0.714285714285714,0.0198825632102204
debris_mucus,DINOv2,-0.0096283149841629,0.785714285714286,0.0783380124238786
debris_mucus,ResNet18,-0.0599663860002882,0,-0.306591022126603
debris_mucus,UNI,-0.0427648379531891,0.952380952380952,0.0659606623346332
lymphocytes,DINOv2,0.033930844482713,1,0.0415912836677016
lymphocytes,ResNet18,0.0623269279271252,1,1.00138990684795
lymphocytes,UNI,0.0357746780309714,0.976190476190476,0.237278184787861
normal_mucosa,DINOv2,0.205805501860242,0.976190476190476,0.164725945438886
normal_mucosa,ResNet18,0.322748841678055,0.333333333333333,0.0122537235330809
normal_mucosa,UNI,0.132511580875216,0.976190476190476,0.0838227626313866
stroma,DINOv2,0.246165806813812,0.976190476190476,0.0471089462204721
stroma,ResNet18,0.0586886196437631,0.0238095238095238,-0.1936466663342
stroma,UNI,0.117803837103537,1,0.31140810463643
tumor,DINOv2,-0.196185283580503,0.404761904761905,-0.0208817303675664
tumor,ResNet18,0.113734724109564,0.357142857142857,-0.0424675802515647
tumor,UNI,0.123171106825318,1,0.153672179157029
