scope,metric,model_a,model_b,images,sources,effect,image_weighted_effect,ci_low,ci_high,p,inference,family,p_holm
CRC_conditional,top_minus_random_relative_target_logit_reduction_auc,UNI,DINOv2,48,1,0.0367783940481881,0.0367783940481881,0.00180245785194776,0.0706603047572186,0.0759999345498586,tile_weighted_signed_rank_exploratory,secondary_relative_logit,0.0759999345498586
CRC_conditional,top_minus_random_relative_target_logit_reduction_auc,DINOv2,ResNet18,48,1,0.178866672330285,0.178866672330285,0.143168724016066,0.214214339510628,6.83423554540326e-09,tile_weighted_signed_rank_exploratory,secondary_relative_logit,1.50850950192157e-08
CRC_class_complete,attribution_occlusion_spearman,UNI,ResNet18,98,1,-0.036037113307979,-0.036037113307979,-0.0764692645371953,0.0021771814189633,0.134351298435514,tile_weighted_signed_rank_exploratory,primary_spearman_success,0.268702596871028
CRC_class_complete,attribution_occlusion_spearman,UNI,DINOv2,98,1,-0.0639469106598418,-0.0639469106598418,-0.114784483018217,-0.0113222650702376,0.0113450948072342,tile_weighted_signed_rank_exploratory,primary_spearman_success,0.0453803792289369
CRC_class_complete,attribution_occlusion_spearman,DINOv2,ResNet18,98,1,0.0279097973518628,0.0279097973518628,-0.0232584525302916,0.0796349934780421,0.327185327576646,tile_weighted_signed_rank_exploratory,primary_spearman_success,0.327185327576646
CRC_class_complete,top_beats_random_target_logit,UNI,ResNet18,98,1,0.537414965986395,0.537414965986395,0.445578231292517,0.629251700680272,1.42927955893326e-13,tile_weighted_signed_rank_exploratory,primary_spearman_success,8.57567735359957e-13
CRC_class_complete,top_beats_random_target_logit,UNI,DINOv2,98,1,0.0918367346938776,0.0918367346938776,0.0238095238095238,0.159863945578231,0.0213700190857465,tile_weighted_signed_rank_exploratory,primary_spearman_success,0.0641100572572394
CRC_class_complete,top_beats_random_target_logit,DINOv2,ResNet18,98,1,0.445578231292517,0.445578231292517,0.350340136054422,0.54421768707483,1.01717480683229e-11,tile_weighted_signed_rank_exploratory,primary_spearman_success,5.08587403416147e-11
CRC_class_complete,top_minus_random_relative_target_logit_reduction_auc,UNI,ResNet18,98,1,0.0670695844442349,0.0670695844442349,-0.0327468515325746,0.155443307589089,0.00123803024431679,tile_weighted_signed_rank_exploratory,secondary_relative_logit,0.00247606048863359
CRC_class_complete,top_minus_random_relative_target_logit_reduction_auc,UNI,DINOv2,98,1,0.0708303363043008,0.0708303363043008,0.0353600363624182,0.107069259413685,0.000159570923049089,tile_weighted_signed_rank_exploratory,secondary_relative_logit,0.000478712769147268
CRC_class_complete,top_minus_random_relative_target_logit_reduction_auc,DINOv2,ResNet18,98,1,-0.00376075186006582,-0.00376075186006582,-0.113357988462719,0.0883759747776212,0.0163604637232687,tile_weighted_signed_rank_exploratory,secondary_relative_logit,0.0163604637232687
