model,method,target_role,class_name,correct,images,mean_spearman,mean_top_logit_auc,mean_random_logit_auc,mean_bottom_logit_auc,mean_top_minus_random_auc
UNI,attention_rollout,true,04_LYMPHO,False,9,0.19674623982093165,0.5387409650617176,0.6286154792126681,0.7188465735978551,-0.08987451415095064
UNI,attention_rollout,true,05_DEBRIS,False,7,0.04192513174176905,0.4985647883798395,0.3835827312831368,0.2552557586559228,0.11498205709670264
UNI,attention_rollout,true,06_MUCOSA,False,3,0.18088013026374158,0.4161724478006363,0.4549131726225218,0.5268279269648094,-0.038740724821885585
UNI,attention_rollout,true,07_ADIPOSE,False,5,0.13611997864354647,0.9284997541829944,0.9293193669617177,0.8700087761878967,-0.0008196127787232221
UNI,attention_rollout,true,08_EMPTY,False,9,-0.16090033566465764,1.8468844150658699,0.47931865875466934,0.1593893539936592,1.3675657563112003
UNI,gradient_attention_rollout,predicted,01_TUMOR,False,6,0.17574740946749653,1.2579625949263573,1.8341869930426278,2.225600591301918,-0.5762243981162708
UNI,gradient_attention_rollout,predicted,01_TUMOR,True,28,0.15679086395674818,2.5591844564037665,3.121320594421455,3.329145099116223,-0.5621361380176885
UNI,gradient_attention_rollout,predicted,02_STROMA,False,8,0.1283369458677653,1.387128796055913,2.0007389813661574,2.315493267029524,-0.6136101853102445
UNI,gradient_attention_rollout,predicted,02_STROMA,True,26,0.23550590091561813,1.672754499190845,2.4292724849512943,2.781781038813866,-0.7565179857604493
UNI,gradient_attention_rollout,predicted,03_COMPLEX,False,8,0.20372164094064024,1.7399712879210711,2.2662594661116597,2.5856591399759052,-0.5262881781905888
UNI,gradient_attention_rollout,predicted,03_COMPLEX,True,26,0.11730589932185291,1.6200661339223958,2.3093542018762,2.665209297606578,-0.6892880679538044
UNI,gradient_attention_rollout,predicted,04_LYMPHO,False,9,0.17384772990284234,1.264654632078277,1.8352192686663733,2.2076075355211895,-0.5705646365880965
UNI,gradient_attention_rollout,predicted,04_LYMPHO,True,25,0.13345577956408636,2.321476441502571,2.7039853174686432,2.932599746227264,-0.38250887596607197
UNI,gradient_attention_rollout,predicted,05_DEBRIS,False,7,0.08368428422297687,2.055479930979865,2.55223947593144,2.7582059302500315,-0.49675954495157504
UNI,gradient_attention_rollout,predicted,05_DEBRIS,True,27,0.16488227167899638,1.9965928960177635,2.398933127743226,2.6159224596288473,-0.4023402317254631
UNI,gradient_attention_rollout,predicted,06_MUCOSA,False,3,0.09938347849877945,1.1536574865380922,1.6464047809441886,1.7098701377709709,-0.49274729440609627
UNI,gradient_attention_rollout,predicted,06_MUCOSA,True,31,0.2575519475872336,2.669009368109607,3.497517609596253,3.6956218163813315,-0.8285082414866455
UNI,gradient_attention_rollout,predicted,07_ADIPOSE,False,5,0.3661391835140929,2.6251101225614546,2.841583490371704,2.999191229343414,-0.2164733678102495
UNI,gradient_attention_rollout,predicted,07_ADIPOSE,True,29,0.043008038669765686,2.1952251288365443,3.1465521155760205,3.197898695694989,-0.9513269867394762
UNI,gradient_attention_rollout,predicted,08_EMPTY,False,9,0.37041511385238723,0.5110093056224287,0.8568506446149614,0.9125982115666071,-0.3458413389925328
UNI,gradient_attention_rollout,predicted,08_EMPTY,True,25,0.1820076499474566,2.212173087656498,2.385909112483263,2.40934016302228,-0.17373602482676503
UNI,gradient_attention_rollout,true,01_TUMOR,False,6,0.20496404731357598,-0.1474034570778409,0.555096760392189,0.9140595396359762,-0.70250021747003
UNI,gradient_attention_rollout,true,02_STROMA,False,8,0.12320063909984143,0.30056711999131946,0.8051140937954188,1.1253951955586672,-0.5045469738040993
UNI,gradient_attention_rollout,true,03_COMPLEX,False,8,0.14008737817657324,0.361609574360773,0.9036002749577166,1.204977348446846,-0.5419907005969435
UNI,gradient_attention_rollout,true,04_LYMPHO,False,9,0.20423126949595408,-0.0579504894092679,0.6286154792126681,1.0884518085254564,-0.6865659686219361
UNI,gradient_attention_rollout,true,05_DEBRIS,False,7,0.17170497584876537,0.09292427806981975,0.3835827312831368,0.6112831782017435,-0.29065845321331707
UNI,gradient_attention_rollout,true,06_MUCOSA,False,3,0.2644407079504977,-1.044325007746617,0.4549131726225218,1.417744274189075,-1.4992381803691386
UNI,gradient_attention_rollout,true,07_ADIPOSE,False,5,0.15966626556909372,0.7277412261068822,0.9293193669617177,0.9357535494863987,-0.20157814085483539
UNI,gradient_attention_rollout,true,08_EMPTY,False,9,-0.16228425510513983,1.8553568300428904,0.47931865875466934,0.35225468898295526,1.3760381712882213
UNI,raw_attention,predicted,01_TUMOR,False,6,-0.022260118416753665,1.7321092357238133,1.8341869930426278,1.815050435066223,-0.10207775731881459
UNI,raw_attention,predicted,01_TUMOR,True,28,0.010192301051726369,2.995130751069103,3.121320594421455,3.009790081637246,-0.1261898433523518
UNI,raw_attention,predicted,02_STROMA,False,8,0.010904142992612893,1.873867040872574,2.0007389813661574,2.074266078323126,-0.12687194049358363
UNI,raw_attention,predicted,02_STROMA,True,26,0.08605381899853927,2.1661343722389295,2.4292724849512943,2.4514913888504872,-0.2631381127123649
UNI,raw_attention,predicted,03_COMPLEX,False,8,0.05084051191737921,2.309577126055956,2.2662594661116597,2.136125549674034,0.04331765994429597
UNI,raw_attention,predicted,03_COMPLEX,True,26,0.011334858035365648,2.060709242408092,2.3093542018762,2.3425042163867213,-0.2486449594681079
