model,seed,true_class,predicted_class,count
DINOv2,23,05_DEBRIS,07_ADIPOSE,26
DINOv2,23,05_DEBRIS,08_EMPTY,2
DINOv2,23,06_MUCOSA,01_TUMOR,19
DINOv2,23,06_MUCOSA,02_STROMA,3
DINOv2,23,06_MUCOSA,03_COMPLEX,15
DINOv2,23,06_MUCOSA,04_LYMPHO,4
DINOv2,23,06_MUCOSA,05_DEBRIS,0
DINOv2,23,06_MUCOSA,06_MUCOSA,583
DINOv2,23,06_MUCOSA,07_ADIPOSE,1
DINOv2,23,06_MUCOSA,08_EMPTY,0
DINOv2,23,07_ADIPOSE,01_TUMOR,0
DINOv2,23,07_ADIPOSE,02_STROMA,0
DINOv2,23,07_ADIPOSE,03_COMPLEX,0
DINOv2,23,07_ADIPOSE,04_LYMPHO,0
DINOv2,23,07_ADIPOSE,05_DEBRIS,7
DINOv2,23,07_ADIPOSE,06_MUCOSA,5
DINOv2,23,07_ADIPOSE,07_ADIPOSE,605
DINOv2,23,07_ADIPOSE,08_EMPTY,8
DINOv2,23,08_EMPTY,01_TUMOR,0
DINOv2,23,08_EMPTY,02_STROMA,0
DINOv2,23,08_EMPTY,03_COMPLEX,0
DINOv2,23,08_EMPTY,04_LYMPHO,0
DINOv2,23,08_EMPTY,05_DEBRIS,9
DINOv2,23,08_EMPTY,06_MUCOSA,0
DINOv2,23,08_EMPTY,07_ADIPOSE,145
DINOv2,23,08_EMPTY,08_EMPTY,471
DINOv2,41,01_TUMOR,01_TUMOR,555
DINOv2,41,01_TUMOR,02_STROMA,5
DINOv2,41,01_TUMOR,03_COMPLEX,19
DINOv2,41,01_TUMOR,04_LYMPHO,17
DINOv2,41,01_TUMOR,05_DEBRIS,16
DINOv2,41,01_TUMOR,06_MUCOSA,13
DINOv2,41,01_TUMOR,07_ADIPOSE,0
DINOv2,41,01_TUMOR,08_EMPTY,0
DINOv2,41,02_STROMA,01_TUMOR,8
DINOv2,41,02_STROMA,02_STROMA,384
DINOv2,41,02_STROMA,03_COMPLEX,171
DINOv2,41,02_STROMA,04_LYMPHO,1
DINOv2,41,02_STROMA,05_DEBRIS,52
DINOv2,41,02_STROMA,06_MUCOSA,8
DINOv2,41,02_STROMA,07_ADIPOSE,1
DINOv2,41,02_STROMA,08_EMPTY,0
DINOv2,41,03_COMPLEX,01_TUMOR,35
DINOv2,41,03_COMPLEX,02_STROMA,96
DINOv2,41,03_COMPLEX,03_COMPLEX,409
DINOv2,41,03_COMPLEX,04_LYMPHO,73
DINOv2,41,03_COMPLEX,05_DEBRIS,8
DINOv2,41,03_COMPLEX,06_MUCOSA,4
DINOv2,41,03_COMPLEX,07_ADIPOSE,0
DINOv2,41,03_COMPLEX,08_EMPTY,0
DINOv2,41,04_LYMPHO,01_TUMOR,5
DINOv2,41,04_LYMPHO,02_STROMA,4
DINOv2,41,04_LYMPHO,03_COMPLEX,168
DINOv2,41,04_LYMPHO,04_LYMPHO,443
DINOv2,41,04_LYMPHO,05_DEBRIS,4
DINOv2,41,04_LYMPHO,06_MUCOSA,1
DINOv2,41,04_LYMPHO,07_ADIPOSE,0
DINOv2,41,04_LYMPHO,08_EMPTY,0
DINOv2,41,05_DEBRIS,01_TUMOR,66
DINOv2,41,05_DEBRIS,02_STROMA,210
DINOv2,41,05_DEBRIS,03_COMPLEX,10
DINOv2,41,05_DEBRIS,04_LYMPHO,22
DINOv2,41,05_DEBRIS,05_DEBRIS,293
DINOv2,41,05_DEBRIS,06_MUCOSA,5
DINOv2,41,05_DEBRIS,07_ADIPOSE,18
DINOv2,41,05_DEBRIS,08_EMPTY,1
DINOv2,41,06_MUCOSA,01_TUMOR,17
DINOv2,41,06_MUCOSA,02_STROMA,1
DINOv2,41,06_MUCOSA,03_COMPLEX,16
DINOv2,41,06_MUCOSA,04_LYMPHO,5
DINOv2,41,06_MUCOSA,05_DEBRIS,0
DINOv2,41,06_MUCOSA,06_MUCOSA,585
DINOv2,41,06_MUCOSA,07_ADIPOSE,1
DINOv2,41,06_MUCOSA,08_EMPTY,0
DINOv2,41,07_ADIPOSE,01_TUMOR,0
DINOv2,41,07_ADIPOSE,02_STROMA,0
DINOv2,41,07_ADIPOSE,03_COMPLEX,0
DINOv2,41,07_ADIPOSE,04_LYMPHO,0
DINOv2,41,07_ADIPOSE,05_DEBRIS,12
DINOv2,41,07_ADIPOSE,06_MUCOSA,7
DINOv2,41,07_ADIPOSE,07_ADIPOSE,598
DINOv2,41,07_ADIPOSE,08_EMPTY,8
DINOv2,41,08_EMPTY,01_TUMOR,0
DINOv2,41,08_EMPTY,02_STROMA,0
DINOv2,41,08_EMPTY,03_COMPLEX,0
DINOv2,41,08_EMPTY,04_LYMPHO,0
DINOv2,41,08_EMPTY,05_DEBRIS,13
DINOv2,41,08_EMPTY,06_MUCOSA,0
DINOv2,41,08_EMPTY,07_ADIPOSE,112
DINOv2,41,08_EMPTY,08_EMPTY,500
DINOv2,57,01_TUMOR,01_TUMOR,557
DINOv2,57,01_TUMOR,02_STROMA,6
DINOv2,57,01_TUMOR,03_COMPLEX,16
DINOv2,57,01_TUMOR,04_LYMPHO,17
DINOv2,57,01_TUMOR,05_DEBRIS,20
