model,seed,case_id,images,accuracy
DINOv2,57,CRC-Prim-HE-02,284,0.8063380281690141
DINOv2,57,CRC-Prim-HE-03,740,0.7148648648648649
DINOv2,57,CRC-Prim-HE-04,381,0.8241469816272966
DINOv2,57,CRC-Prim-HE-05,661,0.7700453857791225
DINOv2,57,CRC-Prim-HE-06,1061,0.7351555136663525
DINOv2,57,CRC-Prim-HE-07,503,0.7634194831013916
DINOv2,57,CRC-Prim-HE-08,389,0.4473007712082262
DINOv2,57,CRC-Prim-HE-09,342,0.7192982456140351
DINOv2,57,CRC-Prim-HE-10,238,0.9117647058823529
DINOv2,73,CRC-Prim-HE-01,401,0.912718204488778
DINOv2,73,CRC-Prim-HE-02,284,0.8063380281690141
DINOv2,73,CRC-Prim-HE-03,740,0.7040540540540541
DINOv2,73,CRC-Prim-HE-04,381,0.8267716535433071
DINOv2,73,CRC-Prim-HE-05,661,0.7655068078668684
DINOv2,73,CRC-Prim-HE-06,1061,0.822808671065033
DINOv2,73,CRC-Prim-HE-07,503,0.7654075546719682
DINOv2,73,CRC-Prim-HE-08,389,0.4498714652956298
DINOv2,73,CRC-Prim-HE-09,342,0.6666666666666666
DINOv2,73,CRC-Prim-HE-10,238,0.9033613445378151
DINOv2,89,CRC-Prim-HE-01,401,0.9177057356608479
DINOv2,89,CRC-Prim-HE-02,284,0.8028169014084507
DINOv2,89,CRC-Prim-HE-03,740,0.75
DINOv2,89,CRC-Prim-HE-04,381,0.8241469816272966
DINOv2,89,CRC-Prim-HE-05,661,0.7534039334341907
DINOv2,89,CRC-Prim-HE-06,1061,0.7615457115928369
DINOv2,89,CRC-Prim-HE-07,503,0.7534791252485089
DINOv2,89,CRC-Prim-HE-08,389,0.46272493573264784
DINOv2,89,CRC-Prim-HE-09,342,0.6783625730994152
DINOv2,89,CRC-Prim-HE-10,238,0.9201680672268907
DINOv2,101,CRC-Prim-HE-01,401,0.8977556109725686
DINOv2,101,CRC-Prim-HE-02,284,0.8063380281690141
DINOv2,101,CRC-Prim-HE-03,740,0.7337837837837838
DINOv2,101,CRC-Prim-HE-04,381,0.7532808398950132
DINOv2,101,CRC-Prim-HE-05,661,0.7291981845688351
DINOv2,101,CRC-Prim-HE-06,1061,0.7945334590009425
DINOv2,101,CRC-Prim-HE-07,503,0.7713717693836978
DINOv2,101,CRC-Prim-HE-08,389,0.45758354755784064
DINOv2,101,CRC-Prim-HE-09,342,0.6783625730994152
DINOv2,101,CRC-Prim-HE-10,238,0.9033613445378151
DINOv2,131,CRC-Prim-HE-01,401,0.912718204488778
DINOv2,131,CRC-Prim-HE-02,284,0.7535211267605634
DINOv2,131,CRC-Prim-HE-03,740,0.7148648648648649
DINOv2,131,CRC-Prim-HE-04,381,0.8083989501312336
DINOv2,131,CRC-Prim-HE-05,661,0.7549167927382754
DINOv2,131,CRC-Prim-HE-06,1061,0.7926484448633365
DINOv2,131,CRC-Prim-HE-07,503,0.7256461232604374
DINOv2,131,CRC-Prim-HE-08,389,0.4832904884318766
DINOv2,131,CRC-Prim-HE-09,342,0.6812865497076024
DINOv2,131,CRC-Prim-HE-10,238,0.9117647058823529
DINOv2,151,CRC-Prim-HE-01,401,0.912718204488778
DINOv2,151,CRC-Prim-HE-02,284,0.8028169014084507
DINOv2,151,CRC-Prim-HE-03,740,0.7621621621621621
DINOv2,151,CRC-Prim-HE-04,381,0.7979002624671916
DINOv2,151,CRC-Prim-HE-05,661,0.75642965204236
