scope,model,seed,fold,image_count,class_coverage,source_group_count,accuracy,source_macro_accuracy,balanced_accuracy,macro_f1,cross_entropy_loss,test_loss
fold,DINOv2,11,0,401,6,1,0.8728179551122195,0.8728179551122195,0.8629203675772302,0.6122252826105807,0.4303869903002645,0.4303869903002645
fold,DINOv2,11,1,284,6,1,0.7922535211267606,0.7922535211267606,0.6307998295421149,0.453470515970516,0.489052197252789,0.489052197252789
fold,DINOv2,11,2,740,7,1,0.7445945945945946,0.7445945945945946,0.8072722530705724,0.5993602064085699,0.7010055511374423,0.7010055511374423
fold,DINOv2,11,3,381,6,1,0.8293963254593176,0.8293963254593176,0.7359296526892615,0.5489718133094044,0.42240635317582126,0.42240635317582126
fold,DINOv2,11,4,661,7,1,0.7397881996974282,0.7397881996974282,0.7681181136804275,0.6275659983580777,0.5948857536261807,0.5948857536261807
fold,DINOv2,11,5,1061,8,1,0.7700282752120641,0.7700282752120641,0.7757318993707937,0.6541215191083994,0.598107871403909,0.598107871403909
fold,DINOv2,11,6,503,7,1,0.7395626242544732,0.7395626242544732,0.7327791094623822,0.5467579968563923,0.8340037068830747,0.8340037068830747
fold,DINOv2,11,7,389,6,1,0.4498714652956298,0.4498714652956298,0.730565755885184,0.4386966205036022,1.5808998500241627,1.5808998500241627
fold,DINOv2,11,8,342,6,1,0.7017543859649122,0.7017543859649122,0.7504240951409632,0.5336824674994074,0.8015063307992746,0.8015063307992746
fold,DINOv2,11,9,238,7,1,0.9159663865546218,0.9159663865546218,0.896733082854839,0.7892637118788887,0.29169014748368344,0.29169014748368344
fold,DINOv2,23,0,401,6,1,0.9201995012468828,0.9201995012468828,0.9072227110217307,0.5960200853530281,0.2904608947403503,0.2904608947403503
fold,DINOv2,23,1,284,6,1,0.7992957746478874,0.7992957746478874,0.6357348792100158,0.4096628109958818,0.5098720544727033,0.5098720544727033
fold,DINOv2,23,2,740,7,1,0.7445945945945946,0.7445945945945946,0.8052619195476339,0.6000813322816342,0.7193769958348664,0.7193769958348664
fold,DINOv2,23,3,381,6,1,0.7952755905511811,0.7952755905511811,0.73367963634779,0.5489221336427942,0.5701065699412707,0.5701065699412707
fold,DINOv2,23,4,661,7,1,0.7337367624810892,0.7337367624810892,0.7433866702920824,0.6053784966006843,0.5998939480804525,0.5998939480804525
fold,DINOv2,23,5,1061,8,1,0.7964184731385485,0.7964184731385485,0.8513265152353358,0.7549601752343742,0.5639289371070412,0.5639289371070412
fold,DINOv2,23,6,503,7,1,0.7435387673956262,0.7435387673956262,0.7374209662050794,0.5414887926281043,0.8248755681018963,0.8248755681018963
fold,DINOv2,23,7,389,6,1,0.46786632390745503,0.46786632390745503,0.7387774060657462,0.45318428953246603,1.3668403848200767,1.3668403848200767
fold,DINOv2,23,8,342,6,1,0.6812865497076024,0.6812865497076024,0.7342099171620794,0.5209659238220031,0.8256266793258914,0.8256266793258914
fold,DINOv2,23,9,238,7,1,0.9159663865546218,0.9159663865546218,0.9015384319240735,0.7946952513484771,0.2622909846393496,0.2622909846393496
fold,DINOv2,41,0,401,6,1,0.9276807980049875,0.9276807980049875,0.9164662588682196,0.6007686789437361,0.3063343888486459,0.3063343888486459
fold,DINOv2,41,1,284,6,1,0.7922535211267606,0.7922535211267606,0.6307851348968435,0.45236940534664094,0.5185663557903957,0.5185663557903957
fold,DINOv2,41,2,740,7,1,0.7054054054054054,0.7054054054054054,0.7799988413433792,0.5501576630817956,0.8068186876862812,0.8068186876862812
fold,DINOv2,41,3,381,6,1,0.8188976377952756,0.8188976377952756,0.7647314960072338,0.5597512334768732,0.4789479128135958,0.4789479128135958
fold,DINOv2,41,4,661,7,1,0.7246596066565809,0.7246596066565809,0.7385124564556046,0.6098449856864988,0.6094129439426639,0.6094129439426639
fold,DINOv2,41,5,1061,8,1,0.7822808671065034,0.7822808671065034,0.7589909975635449,0.6567534248376248,0.5725757914108616,0.5725757914108616
fold,DINOv2,41,6,503,7,1,0.7594433399602386,0.7594433399602386,0.7469289758804442,0.5620847317164448,0.8626013859986678,0.8626013859986678
fold,DINOv2,41,7,389,6,1,0.4987146529562982,0.4987146529562982,0.7549432091745544,0.4655858061876521,1.2657350372490714,1.2657350372490714
fold,DINOv2,41,8,342,6,1,0.6695906432748538,0.6695906432748538,0.7087405137889508,0.5123944741980175,0.8857950782987797,0.8857950782987797
fold,DINOv2,41,9,238,7,1,0.9327731092436975,0.9327731092436975,0.9162895955474176,0.8051208741630779,0.2745010832922229,0.2745010832922229
fold,DINOv2,57,0,401,6,1,0.9201995012468828,0.9201995012468828,0.9200289089994973,0.6166434860040422,0.2912728083264303,0.2912728083264303
fold,DINOv2,57,1,284,6,1,0.8063380281690141,0.8063380281690141,0.6370744430729443,0.4580767695211493,0.48636403467522754,0.48636403467522754
fold,DINOv2,57,2,740,7,1,0.7148648648648649,0.7148648648648649,0.7674863595031661,0.5365658710466483,0.7026085869606379,0.7026085869606379
fold,DINOv2,57,3,381,6,1,0.8241469816272966,0.8241469816272966,0.7258728388404091,0.5429413406763943,0.4570504551422978,0.4570504551422978
fold,DINOv2,57,4,661,7,1,0.7700453857791225,0.7700453857791225,0.7830202471587774,0.6504931045159587,0.5470191947120008,0.5470191947120008
fold,DINOv2,57,5,1061,8,1,0.7351555136663525,0.7351555136663525,0.706633243685463,0.6212086607094323,0.7985479239897199,0.7985479239897199
fold,DINOv2,57,6,503,7,1,0.7634194831013916,0.7634194831013916,0.7530868935929836,0.563740795796995,0.8301465545141362,0.8301465545141362
fold,DINOv2,57,7,389,6,1,0.4473007712082262,0.4473007712082262,0.7130029767748914,0.43872179945466716,1.4096547447848433,1.4096547447848433
fold,DINOv2,57,8,342,6,1,0.7192982456140351,0.7192982456140351,0.7598470376234282,0.5403403280814325,0.7408699048236197,0.7408699048236197
fold,DINOv2,57,9,238,7,1,0.9117647058823529,0.9117647058823529,0.8969301369931977,0.7908829346329347,0.27977616199918487,0.27977616199918487
fold,DINOv2,73,0,401,6,1,0.912718204488778,0.912718204488778,0.9055747583933859,0.608084376609461,0.33764085314530584,0.33764085314530584
fold,DINOv2,73,1,284,6,1,0.8063380281690141,0.8063380281690141,0.6370744430729443,0.4575874482670925,0.514702231773062,0.514702231773062
fold,DINOv2,73,2,740,7,1,0.7040540540540541,0.7040540540540541,0.7729423578163074,0.5564437229137535,0.8111054704650703,0.8111054704650703
fold,DINOv2,73,3,381,6,1,0.8267716535433071,0.8267716535433071,0.7500064684990903,0.554746972486603,0.41764387557568744,0.41764387557568744
fold,DINOv2,73,4,661,7,1,0.7655068078668684,0.7655068078668684,0.778337057265806,0.6408980936125976,0.5527005702689587,0.5527005702689587
fold,DINOv2,73,5,1061,8,1,0.822808671065033,0.822808671065033,0.8350914242121091,0.7445976889087209,0.46355208518791013,0.46355208518791013
fold,DINOv2,73,6,503,7,1,0.7654075546719682,0.7654075546719682,0.7531279269554811,0.5884282476896301,0.7587699503269713,0.7587699503269713
fold,DINOv2,73,7,389,6,1,0.4498714652956298,0.4498714652956298,0.7342021195215476,0.43395514404424923,1.739605914609397,1.739605914609397
fold,DINOv2,73,8,342,6,1,0.6666666666666666,0.6666666666666666,0.713264896826267,0.5078563075340512,0.9129849776647849,0.9129849776647849
fold,DINOv2,73,9,238,7,1,0.9033613445378151,0.9033613445378151,0.8913909433870627,0.7812331409453197,0.2717787281530051,0.2717787281530051
fold,DINOv2,89,0,401,6,1,0.9177057356608479,0.9177057356608479,0.9150361711636221,0.5931366232919679,0.3013461306887252,0.3013461306887252
fold,DINOv2,89,1,284,6,1,0.8028169014084507,0.8028169014084507,0.6390241286075354,0.4600933176300823,0.46541922455588686,0.46541922455588686
fold,DINOv2,89,2,740,7,1,0.75,0.75,0.813815660454316,0.6265572230424818,0.7068597608586662,0.7068597608586662
fold,DINOv2,89,3,381,6,1,0.8241469816272966,0.8241469816272966,0.7681155423734354,0.5664832950953839,0.45428954177456893,0.45428954177456893
fold,DINOv2,89,4,661,7,1,0.7534039334341907,0.7534039334341907,0.7648694259232988,0.6207533460506269,0.5806616430115833,0.5806616430115833
fold,DINOv2,89,5,1061,8,1,0.7615457115928369,0.7615457115928369,0.811021674538468,0.6916695446322134,0.690153784385555,0.690153784385555
fold,DINOv2,89,6,503,7,1,0.7534791252485089,0.7534791252485089,0.7445099853968352,0.5814381737555683,0.7790602970021832,0.7790602970021832
fold,DINOv2,89,7,389,6,1,0.46272493573264784,0.46272493573264784,0.7443230176217203,0.4518859065653705,1.551036310710866,1.551036310710866
fold,DINOv2,89,8,342,6,1,0.6783625730994152,0.6783625730994152,0.7212245575922797,0.5137899227199233,0.8411807308718624,0.8411807308718624
fold,DINOv2,89,9,238,7,1,0.9201680672268907,0.9201680672268907,0.9126262049230761,0.794902545879961,0.3222558934193398,0.3222558934193398
fold,DINOv2,101,0,401,6,1,0.8977556109725686,0.8977556109725686,0.8966538182224456,0.5649419570039121,0.3703096713699746,0.3703096713699746
fold,DINOv2,101,1,284,6,1,0.8063380281690141,0.8063380281690141,0.6424015458766825,0.4156802450199595,0.42679832963152825,0.42679832963152825
fold,DINOv2,101,2,740,7,1,0.7337837837837838,0.7337837837837838,0.7897741935557062,0.5685713966099922,0.7047957689247949,0.7047957689247949
fold,DINOv2,101,3,381,6,1,0.7532808398950132,0.7532808398950132,0.721001037683433,0.5232248131823014,0.6658823913709065,0.6658823913709065
fold,DINOv2,101,4,661,7,1,0.7291981845688351,0.7291981845688351,0.746014801153828,0.6162147412894786,0.6025432378030193,0.6025432378030193
fold,DINOv2,101,5,1061,8,1,0.7945334590009425,0.7945334590009425,0.8029485375698915,0.6932528843042605,0.5905138871000896,0.5905138871000896
fold,DINOv2,101,6,503,7,1,0.7713717693836978,0.7713717693836978,0.7586188752608434,0.581396596990315,0.8103558825901109,0.8103558825901109
fold,DINOv2,101,7,389,6,1,0.45758354755784064,0.45758354755784064,0.7414986754496183,0.44919641674796973,1.450896699794601,1.450896699794601
fold,DINOv2,101,8,342,6,1,0.6783625730994152,0.6783625730994152,0.7155780518958387,0.5179679292187105,0.859359525162074,0.859359525162074
fold,DINOv2,101,9,238,7,1,0.9033613445378151,0.9033613445378151,0.8903422386759763,0.7820631401528579,0.27142574580068807,0.27142574580068807
