excluded_source_group,retained_source_groups,estimate,cohort_name,analysis_family,target_role,method_family,perturbation,grid_label,metric,model_a,model_b
CRC-Prim-HE-08,9,1.9856735409067856,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_margin_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,1.742100687642653,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_margin_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,1.9185763568704706,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,normalized_top_minus_random_target_margin_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,-0.057367988706581434,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,-0.05454143848580006,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,-0.05262829007011424,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,-0.05886450989041596,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,-0.05918252617591393,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,-0.04572842233425207,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,-0.05490149095688465,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,-0.053083608754215326,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,-0.05879460756127044,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,FrozenResNet18,ResNet18
