cohort_name,analysis_family,model,method,perturbation,grid_label,image_seed_rows,images,seeds,source_groups,spearman_mean,spearman_median,spearman_q1,spearman_q3,positive_spearman_fraction,top_beats_random_fraction,subgroup_type,class_name,case_id,correct,confidence_group
random_prediction_independent,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,287,100,3,10,0.050448343678033386,0.0628995370112121,-0.03756106112886385,0.16643610196909692,0.686411149825784,0.7700348432055749,overall,,,,
random_prediction_independent,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,287,100,3,10,0.024757154703834584,0.0153511463156133,-0.1664488520906215,0.2168038632868219,0.5261324041811847,0.20209059233449478,overall,,,,
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,287,100,3,10,0.09619961902007221,0.1100303612268804,-0.034318545848640095,0.2433719290136984,0.7142857142857143,0.9337979094076655,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,527,187,3,10,0.04114655417792941,0.0444548924606937,-0.0431719114822813,0.13764393691877375,0.6451612903225806,0.7001897533206831,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,527,187,3,10,0.06603887704162219,0.062319406481843,-0.0304711966785933,0.17865390592004077,0.6850094876660342,0.7495256166982922,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,527,187,3,10,0.043202709105253576,0.0568113539832176,-0.10033947198559229,0.1740646590537816,0.5996204933586338,0.7115749525616698,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,527,187,3,10,-0.02982873384443418,-0.0294897959183673,-0.20892857142857135,0.14938775510204075,0.45351043643263755,0.7400379506641366,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,527,187,3,10,0.08664943000978288,0.1038206153833515,-0.027828521972991502,0.19863276779583422,0.7115749525616698,0.8273244781783681,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,gaussian_blur,common_14,527,187,3,10,0.02934007143754424,0.032498466001004,-0.07411729629449945,0.14465889440508728,0.5806451612903226,0.47248576850094876,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,local_mean,common_14,527,187,3,10,0.020407367917600734,0.0292424037166604,-0.09475332499262881,0.14241248236897255,0.5521821631878557,0.3757115749525617,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,527,187,3,10,0.014138241038034367,0.0252069902541258,-0.15426212656089375,0.20529130043270724,0.5313092979127134,0.17267552182163187,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_7,527,187,3,10,0.06861793550901107,0.093469387755102,-0.1932653061224489,0.3512244897959183,0.5901328273244781,0.286527514231499,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,native_5,527,187,3,10,0.12886131837605155,0.1569230769230769,-0.12730769230769223,0.42538461538461536,0.6299810246679317,0.4648956356736243,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,gaussian_blur,common_14,527,187,3,10,0.03277976873195113,0.0534963223868227,-0.10144076373227931,0.1743217231477491,0.6053130929791272,0.8330170777988615,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,local_mean,common_14,527,187,3,10,0.11335018178196395,0.1234355202448023,-0.020542836423909652,0.25355130728589753,0.7210626185958254,0.9753320683111955,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,527,187,3,10,0.12835600257289076,0.1514475372343392,-0.015595789272366451,0.2804843452414155,0.7343453510436433,0.9658444022770398,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_7,527,187,3,10,0.18256429088367593,0.198469387755102,0.03163265306122445,0.34295918367346934,0.7722960151802657,0.8918406072106262,overall,,,,
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,native_14,527,187,3,10,0.12835600257289076,0.1514475372343392,-0.015595789272366451,0.2804843452414155,0.7343453510436433,0.9658444022770398,overall,,,,
selected_training_regime,training_regime_jointly_correct_true_class,FrozenResNet18,gradcam,normalized_zero,common_14,546,197,3,10,0.13846350681482408,0.1406887486010729,-0.019854704434072175,0.3129731652754798,0.7087912087912088,0.08974358974358974,overall,,,,
selected_training_regime,training_regime_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,546,197,3,10,0.007662483213161186,0.0190391189666026,-0.1658719090916335,0.2067687207643698,0.5238095238095238,0.1684981684981685,overall,,,,
random_prediction_independent,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,44,15,3,10,-0.1335308274031987,-0.13718333877869776,-0.29657699081194366,0.016177115125628524,0.36363636363636365,0.3409090909090909,class,01_TUMOR,,,
random_prediction_independent,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,34,13,3,9,0.1962421829333061,0.17623457036074874,0.12652264341894504,0.28673349855365815,0.8823529411764706,0.7941176470588235,class,02_STROMA,,,
