cohort_name,analysis_family,target_role,model,method,perturbation,grid_label,case_id,attribution_occlusion_spearman,normalized_top_minus_random_target_logit_auc,normalized_top_minus_random_target_margin_auc,top_minus_random_relative_target_logit_reduction_auc,top_minus_random_relative_target_margin_reduction_auc,top_minus_random_5_relative_target_logit_reduction,top_minus_random_10_relative_target_logit_reduction,top_minus_random_20_relative_target_logit_reduction,top_minus_random_30_relative_target_logit_reduction,top_minus_random_5_relative_target_margin_reduction,top_minus_random_10_relative_target_margin_reduction,top_minus_random_20_relative_target_margin_reduction,top_minus_random_30_relative_target_margin_reduction
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,CRC-Prim-HE-01,0.0716954132576219,-0.30974236075279693,-1.623829660623355,0.06584683082186675,0.320056917413138,0.07212301872701724,0.08585820155659286,0.1223782915350329,0.18810300505812136,0.9889720381578917,0.2169426013565819,-0.081160268914915,0.6571384683203437
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,CRC-Prim-HE-02,0.009690490799990431,-0.2651068335376698,-3.0781470094402574,0.09789716704389446,0.3734448490315713,0.08120611847561744,0.056261115332267096,0.06530874121638562,0.25664042349044996,0.18973211983063387,0.07093358253161658,0.42350751915369217,1.070541022674634
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,CRC-Prim-HE-03,0.03907323493570652,-0.31191270485551187,-12.310481174456731,0.14539137067649285,0.6508071863415185,0.048657730523590174,0.1317230717253606,0.22198312342378881,0.3508011551466978,0.18570528770226555,0.41628184851852185,0.8763973064469724,1.6096323374193735
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,CRC-Prim-HE-04,-0.05433600896151399,-0.06485206885461883,-0.31982181035198193,0.03321947643379162,0.16363071695539036,-0.029419124715263586,0.0015859652443672514,0.0487346366414001,0.07132259222690683,-0.0349290341643127,0.10874928444193212,0.4309846729021123,0.4973839299321504
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,CRC-Prim-HE-05,-0.0023960153378811814,-0.08359429172127492,-0.20861585355893617,0.03687756082441175,0.11499790419347139,-0.006892896579806982,-0.014974181388357205,0.03503788112602812,0.076939380100188,0.17280318031094638,0.15261147160474142,0.1827259902657527,0.3110100752543127
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,CRC-Prim-HE-06,0.014811582842695459,-0.09134089596281082,1.209280142792386,0.03932294470386873,0.00990906979006711,-0.033395090145300635,0.0009303707496265085,0.04460062670133975,0.10892753734928691,-0.321435131316347,-0.2091102239449607,-0.12579026890742212,0.1663794694374831
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,CRC-Prim-HE-07,0.008468559882628037,-0.1995431197170758,-0.6569593573804,0.08735554849705826,0.21009587398142274,0.0484271154042274,0.06376530730887436,0.15420697317709825,0.2598423974122605,0.10360779354273411,0.1787575704159892,0.44222392756615325,0.5577309910720949
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,CRC-Prim-HE-08,0.13416784649562022,-0.14369256486233006,-0.3012933250498679,0.06437537712707643,0.11428773167441182,0.06880537303984131,0.10478939676943759,0.1323520931991563,0.18184372200312138,0.08384084184076401,0.2070324610954467,0.40543406661922315,0.17326436298501893
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,CRC-Prim-HE-09,0.13386575715799792,-0.16327598892204898,-1.1229208931192884,0.05279273164912065,0.22877961048339962,0.022703161074169642,0.05681511481602998,0.035480251281578466,0.12319521946685838,0.11134866687244283,0.3953047208214221,0.43337809067429456,0.5598894313205692
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,CRC-Prim-HE-10,0.11515262468661194,-0.08227262191202092,-7.85060386266802,0.029704437401019912,-0.015383777754091879,0.020096157633491953,0.009020395089749953,0.035163356359957744,0.035323157093756635,-0.08480212566705245,-0.07854854002963978,-0.15483844842052918,-0.12121093707758145
random_prediction_independent,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,CRC-Prim-HE-01,0.029070201182497875,0.44517829918043816,125.8933986463692,-0.06484499021197808,-0.06490501907523018,0.003171412040472562,-0.055063378344961895,-0.15946480051689857,-0.20370334243544932,-0.05435985880415932,-0.14692456968668696,-0.08496576967804183,-0.20382696890288207
random_prediction_independent,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,CRC-Prim-HE-02,0.1488237150603782,1.3665142403583272,1.0316871342071732,-0.03387332719038238,-0.10224772775926645,0.00241163708876024,-0.009677837521024309,-0.05469121923038699,-0.12726999871331832,0.009289824855098935,-0.026040894137334413,-0.24203048460619506,-0.3680237300965081
