cohort_name,analysis_family,model,method,perturbation,grid_label,image_seed_rows,images,seeds,source_groups,mean_spearman,median_spearman,positive_spearman_fraction,top_beats_random_fraction,mean_scale_free_logit_auc,mean_scale_free_margin_auc,supportive_spearman,absolute_spearman,supportive_effect,absolute_effect,inhibitory_effect
random_prediction_independent,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,287,100,3,10,0.050448343678033386,0.0628995370112121,0.686411149825784,0.7700348432055749,0.05949455724160534,0.1786731716969388,0.04978205673430041,0.03601415998700114,0.260470554421094,0.3272627868173637,0.06679223323338819
random_prediction_independent,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,287,100,3,10,0.024757154703834584,0.0153511463156133,0.5261324041811847,0.20209059233449478,-0.08299479634547349,-1.0078266062782573,0.054165555759667305,0.11622503793878596,0.1495629301374187,0.2770467175216209,0.12748378524654103
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,287,100,3,10,0.09619961902007221,0.1100303612268804,0.7142857142857143,0.9337979094076655,0.0811862333427885,0.14578812598434368,0.16443045342702886,0.19219262051222413,0.06129854920762395,0.0868790376386264,0.02558048822043063
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,527,187,3,10,0.04114655417792941,0.0444548924606937,0.6451612903225806,0.7001897533206831,0.035646923039687924,0.12732475803932825,0.09342546685549191,0.18035798569511988,0.04834443442913919,0.11475047502539468,0.06640604107243028
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,527,187,3,10,0.06603887704162219,0.062319406481843,0.6850094876660342,0.7495256166982922,0.06646103737815728,0.14534328404338315,0.12670272202678465,0.2014893892030276,0.06695870423178203,0.15027567979294726,0.08331697614137103
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,527,187,3,10,0.043202709105253576,0.0568113539832176,0.5996204933586338,0.7115749525616698,0.05868659089258862,0.14213609695924864,0.05871227184229022,0.04708561200822234,0.26400543932948356,0.34680309147349564,0.08279765280297632
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,527,187,3,10,-0.02982873384443418,-0.0294897959183673,0.45351043643263755,0.7400379506641366,0.04662795181684031,0.15291233146485272,-0.01749504695031979,0.012892677661261544,0.40242240608908697,0.4883571082842757,0.08593470387851672
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,normalized_zero,native_16,527,187,3,10,0.08664943000978288,0.1038206153833515,0.7115749525616698,0.8273244781783681,0.09751344196160285,0.3044568797989263,0.1540912555906141,0.1190447037259775,0.06493542978073515,0.1854320885560544,0.12049665910843932
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,gaussian_blur,common_14,527,187,3,10,0.02934007143754424,0.032498466001004,0.5806451612903226,0.47248576850094876,-0.0017962632424997171,0.013997505250040405,0.04963358228111895,0.09288489373771848,0.052771984083945525,0.1042931681915064,0.051521183573199035
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,local_mean,common_14,527,187,3,10,0.020407367917600734,0.0292424037166604,0.5521821631878557,0.3757115749525617,-0.024668347855914614,-0.05824619061434187,0.0425681099723184,0.10591019493531921,0.07866264031594704,0.14258574260322754,0.06392310244169089
