absolute_margin_threshold,cohort_name,perturbation,grid_label,model,image_seed_rows,images,source_groups,margin_auc_mean,margin_auc_median,top_beats_random_fraction
0.25,selected_faithfulness,normalized_zero,common_7,ResNet18,525,186,10,-0.07899483765189123,-0.0695438028315614,0.23238095238095238
0.25,selected_faithfulness,normalized_zero,common_7,UNI,520,184,10,0.11501718617521371,0.0731374732770709,0.8884615384615384
0.25,selected_faithfulness,normalized_zero,native_14,UNI,520,184,10,0.18059298184234113,0.12000619941544766,0.9634615384615385
0.25,selected_faithfulness,normalized_zero,native_16,DINOv2,514,184,10,0.23660701578688703,0.15496837611020503,0.791828793774319
0.25,selected_faithfulness,normalized_zero,native_5,ResNet18,525,186,10,-0.03041768624335537,-0.0306260610845952,0.36
0.5,random_prediction_independent,normalized_zero,common_14,DINOv2,274,99,10,0.14822911151407264,0.1088020540170822,0.7372262773722628
0.5,random_prediction_independent,normalized_zero,common_14,ResNet18,282,99,10,-0.09146397553225726,-0.12385121180517855,0.23404255319148937
0.5,random_prediction_independent,normalized_zero,common_14,UNI,286,100,10,0.1448046128133755,0.12859665952664118,0.9230769230769231
0.5,selected_faithfulness,gaussian_blur,common_14,DINOv2,499,179,10,0.1031357877117779,0.0573287987660799,0.685370741482966
0.5,selected_faithfulness,gaussian_blur,common_14,ResNet18,520,185,10,-0.01789314828694757,-0.014710022406236901,0.4346153846153846
0.5,selected_faithfulness,gaussian_blur,common_14,UNI,519,184,10,0.10255051810358388,0.0783708678716109,0.8497109826589595
0.5,selected_faithfulness,local_mean,common_14,DINOv2,499,179,10,0.1726030007264993,0.1126843441826772,0.7735470941883767
0.5,selected_faithfulness,local_mean,common_14,ResNet18,520,185,10,-0.051254871895057605,-0.0423080533582851,0.3153846153846154
0.5,selected_faithfulness,local_mean,common_14,UNI,519,184,10,0.17235763746558225,0.1260637373984611,0.9556840077071291
0.5,selected_faithfulness,normalized_zero,common_14,DINOv2,499,179,10,0.14988131473803443,0.0921195162773657,0.687374749498998
0.5,selected_faithfulness,normalized_zero,common_14,ResNet18,520,185,10,-0.1291028110708083,-0.14474040569627372,0.18076923076923077
0.5,selected_faithfulness,normalized_zero,common_14,UNI,519,184,10,0.17512512529318752,0.1199495435395528,0.9633911368015414
0.5,selected_faithfulness,normalized_zero,common_7,DINOv2,499,179,10,0.09896564219887682,0.0610718902965292,0.6973947895791583
0.5,selected_faithfulness,normalized_zero,common_7,ResNet18,520,185,10,-0.07311954985488363,-0.06736117648870085,0.2326923076923077
0.5,selected_faithfulness,normalized_zero,common_7,UNI,519,184,10,0.11308114746616786,0.0728195630563164,0.8882466281310212
0.5,selected_faithfulness,normalized_zero,native_14,UNI,519,184,10,0.17512512529318752,0.1199495435395528,0.9633911368015414
0.5,selected_faithfulness,normalized_zero,native_16,DINOv2,499,179,10,0.22164904538605582,0.1480343618564376,0.7955911823647295
0.5,selected_faithfulness,normalized_zero,native_5,ResNet18,520,185,10,-0.025110329358054018,-0.03060639669342325,0.3596153846153846
1.0,random_prediction_independent,normalized_zero,common_14,DINOv2,251,88,10,0.1368731145599011,0.0970868231948351,0.7370517928286853
1.0,random_prediction_independent,normalized_zero,common_14,ResNet18,277,99,10,-0.11212128627405575,-0.1252913800820385,0.22743682310469315
1.0,random_prediction_independent,normalized_zero,common_14,UNI,274,96,10,0.14394315491550175,0.12922166089450554,0.9452554744525548
1.0,selected_faithfulness,gaussian_blur,common_14,DINOv2,466,168,10,0.08798724122484147,0.05269533556959065,0.6781115879828327
1.0,selected_faithfulness,gaussian_blur,common_14,ResNet18,512,184,10,-0.01994240377824027,-0.014422757670245551,0.435546875
1.0,selected_faithfulness,gaussian_blur,common_14,UNI,511,182,10,0.09511323649675016,0.077084898198896,0.8512720156555773
1.0,selected_faithfulness,local_mean,common_14,DINOv2,466,168,10,0.14926604248707137,0.10748243263172311,0.7725321888412017
1.0,selected_faithfulness,local_mean,common_14,ResNet18,512,184,10,-0.05418011974322537,-0.042782859354176,0.310546875
1.0,selected_faithfulness,local_mean,common_14,UNI,511,182,10,0.16647154969344974,0.124785704624164,0.9569471624266145
1.0,selected_faithfulness,normalized_zero,common_14,DINOv2,466,168,10,0.12744513818249933,0.07904350109334429,0.6866952789699571
1.0,selected_faithfulness,normalized_zero,common_14,ResNet18,512,184,10,-0.13532405724174898,-0.14746236758020959,0.17578125
1.0,selected_faithfulness,normalized_zero,common_14,UNI,511,182,10,0.16590711850027617,0.1195955680152536,0.9647749510763209
1.0,selected_faithfulness,normalized_zero,common_7,DINOv2,466,168,10,0.08720086191577696,0.0597328739383407,0.6974248927038627
1.0,selected_faithfulness,normalized_zero,common_7,ResNet18,512,184,10,-0.07663459225754578,-0.06736117648870085,0.228515625
1.0,selected_faithfulness,normalized_zero,common_7,UNI,511,182,10,0.10395301840361133,0.0722581755593803,0.8884540117416829
1.0,selected_faithfulness,normalized_zero,native_14,UNI,511,182,10,0.16590711850027617,0.1195955680152536,0.9647749510763209
1.0,selected_faithfulness,normalized_zero,native_16,DINOv2,466,168,10,0.19263287909446034,0.14075855542284305,0.8004291845493562
1.0,selected_faithfulness,normalized_zero,native_5,ResNet18,512,184,10,-0.02704140598999872,-0.03060639669342325,0.357421875
