cohort_name,analysis_family,model,method,perturbation,grid_label,metric,alternative,images,source_groups,mean_difference,median_difference,hierarchical_ci_low,hierarchical_ci_high,proportion_top_beats_random,wilcoxon_statistic,wilcoxon_p,source_sign_flip_estimate,source_sign_flip_p,source_sign_flip_type,wilcoxon_p_holm,source_sign_flip_p_holm
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,gaussian_blur,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,0.001925488068236536,0.0016384127761428502,-0.010465172417351827,0.013499551759444455,0.5080213903743316,8897.0,0.4420718979112993,-0.0015777884976782446,0.6083984375,exact,0.8841437958225986,0.837890625
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,gaussian_blur,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,0.050187285440592116,-0.0085554014834555,-0.026365757429814528,0.2154502998600361,0.47058823529411764,8161.0,0.801592938313054,0.048027595817339966,0.4189453125,exact,0.8841437958225986,0.837890625
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,local_mean,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,-0.020198449010168734,-0.01443073664302635,-0.03994102416167631,-0.004198708931879224,0.3582887700534759,6090.0,0.9998645295672651,-0.02905576244415959,0.9970703125,exact,1.0,1.0
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,local_mean,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,-0.019205477178632944,-0.045122424891367,-0.10271874208116204,0.09033697291525727,0.3422459893048128,5730.0,0.9999816504330745,-0.03676977658077428,0.8974609375,exact,1.0,1.0
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,-0.09586632573037525,-0.1217206254618506,-0.11585030860904832,-0.07255428498256462,0.15508021390374332,1629.0,1.0,-0.09157675535394562,1.0,exact,1.0,1.0
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,-0.09045432808986881,-0.1357725421422338,-0.18477124451467591,0.09463613506950645,0.1657754010695187,2559.0,1.0,-0.08835698807592399,0.9794921875,exact,1.0,1.0
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_7,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,-0.02827662926005571,-0.03439750673850536,-0.041001739922041765,-0.013387988261074155,0.28342245989304815,3934.0,0.9999999999713423,-0.02569879558691725,0.9990234375,exact,1.0,1.0
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_7,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,-0.012990392946957833,-0.07483108976659676,-0.11107867951453321,0.21384084364734585,0.2192513368983957,3796.0,0.9999999999919028,-0.00365063137050584,0.5048828125,exact,1.0,1.0
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,native_5,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,0.00233681297853275,-0.005384565504863534,-0.00931372952634193,0.015267674825782828,0.45989304812834225,8536.0,0.6335831608891059,0.003553501320808182,0.2529296875,exact,1.0,0.505859375
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,native_5,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,-0.0016776388524088746,-0.0352920482637922,-0.09315279124469922,0.14912778096389423,0.3582887700534759,5808.0,0.9999711585078067,0.003294025487137738,0.474609375,exact,1.0,0.505859375
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,gaussian_blur,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,0.05120178422475292,0.0487401697757009,0.037987582237275774,0.06399020184731691,0.8449197860962567,15609.0,1.7593751473742978e-20,0.05019580756942073,0.0009765625,exact,1.0556250884245787e-19,0.005859375
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,gaussian_blur,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,0.02035729850299108,0.08581655338614247,-0.36561672603501577,0.21091653064898339,0.8449197860962567,15431.0,1.5989337968917285e-19,0.06922972317940818,0.1826171875,exact,7.994668984458642e-19,0.5478515625
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,local_mean,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,0.10025562965963665,0.09202334369446934,0.0783143988618786,0.12465470272394086,0.9786096256684492,16960.0,1.4529644391831035e-28,0.10313940507014788,0.0009765625,exact,8.71778663509862e-28,0.005859375
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,local_mean,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,-0.01834844327468886,0.13649419782108624,-0.79682372548887,0.3110464699666719,0.9572192513368984,16825.0,1.082142884885375e-27,0.0807841326250851,0.30078125,exact,5.410714424426875e-27,0.90234375
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,0.09510434593310761,0.08632182288672148,0.0722245102796173,0.12064972227917893,0.9679144385026738,16938.0,2.019939878670189e-28,0.09869142263232251,0.0009765625,exact,1.2119639272021134e-27,0.005859375
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,0.037811750047091516,0.12650407254407203,-0.6009003335819537,0.321003369782652,0.9625668449197861,16785.0,1.9494803130297874e-27,0.11825297127431858,0.1494140625,exact,9.747401565148936e-27,0.4482421875
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_7,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,0.05610492025571122,0.048917417512117665,0.036797083951442405,0.07762854574670836,0.8877005347593583,16375.0,6.884149799888589e-25,0.05998730349415994,0.0009765625,exact,4.130489879933154e-24,0.005859375
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_7,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,-0.026574232125105565,0.07913315822348527,-0.5661921873916198,0.2070114437349831,0.8983957219251337,16134.0,1.8796192962138076e-23,0.04410406493037809,0.3525390625,exact,9.398096481069039e-23,1.0
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,native_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,187,10,0.09510434593310761,0.08632182288672148,0.0722245102796173,0.12064972227917893,0.9679144385026738,16938.0,2.019939878670189e-28,0.09869142263232251,0.0009765625,exact,4.039879757340378e-28,0.001953125
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,native_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,187,10,0.037811750047091516,0.12650407254407203,-0.6009003335819537,0.321003369782652,0.9625668449197861,16785.0,1.9494803130297874e-27,0.11825297127431858,0.1494140625,exact,1.9494803130297874e-27,0.1494140625
selected_training_regime,training_regime_jointly_correct_true_class,FrozenResNet18,gradcam,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,197,10,-0.15180252375040296,-0.15701949273780488,-0.18413429210273333,-0.11679243151736227,0.08629441624365482,876.0,1.0,-0.14702873321547294,1.0,exact,1.0,1.0
selected_training_regime,training_regime_jointly_correct_true_class,FrozenResNet18,gradcam,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,197,10,-0.4022356291439285,-0.286479280281372,-0.6002205860170896,-0.19412836747699672,0.09644670050761421,1839.0,1.0,-0.3730658881844189,1.0,exact,1.0,1.0
selected_training_regime,training_regime_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,top deletion more damaging than random,197,10,-0.09556315766559291,-0.11745044349395146,-0.11476145467599798,-0.0719241210951959,0.14720812182741116,1514.0,1.0,-0.08857545455086321,1.0,exact,1.0,1.0
selected_training_regime,training_regime_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,top deletion more damaging than random,197,10,-0.11677626313308936,-0.12866714695201356,-0.2128144925936256,0.05697869681703476,0.16751269035532995,2572.0,1.0,-0.11048524142997204,0.986328125,exact,1.0,1.0
