cohort_id,case_id,UNI,DINOv2,difference,cohort_name,analysis_family,target_role,method_family,perturbation,grid_label,metric,model_a,model_b,ResNet18
0182d47bc6239a0a,CRC-Prim-HE-10,0.047189355369967705,0.18153875240388576,-0.13434939703391804,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
0563036f6d233d97,CRC-Prim-HE-08,0.0692804357798598,0.05320038121602211,0.016080054563837695,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
05ec55e971259ba8,CRC-Prim-HE-01,0.0598088935035255,-0.062258111510529034,0.12206700501405454,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
0b7d64730d5c0c8d,CRC-Prim-HE-02,0.1008540194279227,0.0431399573145347,0.057714062113388,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
0c403259b484b95d,CRC-Prim-HE-09,0.1349112241525431,0.34869476877297156,-0.21378354462042845,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
0fd1929553a3bc9a,CRC-Prim-HE-06,0.4400726234542016,-1.4540497696984016,1.8941223931526032,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
10614386a7d0aba7,CRC-Prim-HE-06,0.030964113310682467,0.10140068033962961,-0.07043656702894714,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
114823381141834d,CRC-Prim-HE-05,0.11112667079643836,0.026837744413939865,0.08428892638249849,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
11f56476dad8a712,CRC-Prim-HE-10,0.1244214754608746,-0.027698830446837835,0.15212030590771244,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
1289f7a4e7da9a8c,CRC-Prim-HE-08,0.07378668892402544,-0.015842636196036732,0.08962932512006218,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
