cohort_name,analysis_family,target_role,model,method,perturbation,grid_label,seed,attribution_occlusion_spearman,normalized_top_minus_random_target_logit_auc,normalized_top_minus_random_target_margin_auc,top_minus_random_relative_target_logit_reduction_auc,top_minus_random_relative_target_margin_reduction_auc,top_minus_random_5_relative_target_logit_reduction,top_minus_random_10_relative_target_logit_reduction,top_minus_random_20_relative_target_logit_reduction,top_minus_random_30_relative_target_logit_reduction,top_minus_random_5_relative_target_margin_reduction,top_minus_random_10_relative_target_margin_reduction,top_minus_random_20_relative_target_margin_reduction,top_minus_random_30_relative_target_margin_reduction
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,11,0.05288770330467211,-0.17087971868195995,-2.5601581037952488,0.06381426984868248,0.2275363613280681,0.019157627805756618,0.03834261935039391,0.09450939522082942,0.15810891558248588,0.07047227865730413,0.09579359425687807,0.35530478608512767,0.5921173499323941
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,89,0.06255733720679092,-0.14954061025451723,-6.567130038819651,0.057486928625205796,0.14595345593372067,0.02192829720565591,0.04090797333120877,0.06892468263327667,0.1420828144836487,0.009065898997994372,0.12921124839962392,0.1887449068092912,0.38642276986705826
random_prediction_independent,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,181,0.036026125871895014,-0.14506160380964425,-0.7818388350096668,0.05716156045284026,0.16218886745649422,0.025196230760158922,0.03904505589170761,0.080378568928162,0.1355270798094182,0.1608700925241043,0.09267541843085991,0.16157598830619904,0.36539817101164873
random_prediction_independent,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,11,0.03422986152975238,0.6028230419623877,4.258316726716791,-0.06080623968697676,-0.19044442333156827,0.0042014625051762025,-0.036950868185513124,-0.10817352530337683,-0.17381565975043708,0.08473205100616722,0.0808532370745171,-0.05973705983249619,-0.6926656535565457
random_prediction_independent,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,89,0.035935088512434245,0.7330190409897469,34.77611812805178,-0.10613885289637834,-2.7416108280057103,-0.032829724383771866,-0.11134221433307258,-0.21294752654332333,-0.2941542299703327,-1.3419424350027065,-3.478096798847193,-5.716210052009835,-6.450933528219021
random_prediction_independent,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,181,0.004222950879823377,0.4919513766167087,1.1913190615115903,-0.08228038037547068,-0.10948481980715406,-0.016515060684976535,-0.07450454776516265,-0.16781839054874637,-0.22550216857807528,-0.023065519275684367,-0.032867290825064156,-0.20000393197719105,-0.2976067795403844
random_prediction_independent,primary_jointly_correct_true_class,true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,11,0.07252686462571178,-0.17668397573938407,-0.34176254646699694,0.08173573817626893,0.14961920286177863,0.04238218193291918,0.07973824415748405,0.13519261780086025,0.19174014725602784,0.08042228442465252,0.15813251215262017,0.24315149462724672,0.35449498333126434
random_prediction_independent,primary_jointly_correct_true_class,true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,89,0.14259432946992665,-0.18673154894941907,-0.3679834852974732,0.0882492583266132,0.15482209369520267,0.04224863568895519,0.0893839767534852,0.15166277547059215,0.21458633750923614,0.058258481833842864,0.137871957315917,0.2572773520939846,0.37745981939786394
random_prediction_independent,primary_jointly_correct_true_class,true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,181,0.07396094119843087,-0.15483080772430716,-0.3473466275334955,0.07364727670239823,0.13301718522637115,0.03473990492365287,0.06974555292508329,0.12476717609250453,0.1728668632973134,0.05550960016677279,0.11689499561013406,0.21392019230126266,0.3061638415135306
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,11,0.04005813295168435,-0.07685079226122732,-0.28531100608488924,0.034566179606899214,0.047681092660086286,0.00914758801957432,0.007462465228604073,0.02829818149756271,0.07349467908690306,-0.025532437566397847,0.018830845366563098,0.03152536748729487,0.20395574096129968
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,89,0.040151987208928416,-0.08097621747712495,-0.285624415004042,0.035758263527932585,0.2134679511176735,0.014911528324730831,0.017988790453385438,0.035182092308609796,0.0790674154829227,-0.06399911311770759,0.06279674799901389,0.17626017055977702,0.4437616875968149
