,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,604,4,15,2,0,0,0,0
02_STROMA,1,475,121,0,28,0,0,0
03_COMPLEX,14,98,470,37,6,0,0,0
04_LYMPHO,3,3,79,540,0,0,0,0
05_DEBRIS,1,232,13,5,371,0,3,0
06_MUCOSA,1,0,0,2,1,621,0,0
07_ADIPOSE,0,1,0,0,4,0,613,7
08_EMPTY,0,0,0,0,6,0,360,259
