,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,601,0,20,3,0,1,0,0
02_STROMA,0,447,137,0,40,0,1,0
03_COMPLEX,16,83,481,38,7,0,0,0
04_LYMPHO,0,2,77,546,0,0,0,0
05_DEBRIS,1,224,21,0,374,0,5,0
06_MUCOSA,1,0,1,1,1,621,0,0
07_ADIPOSE,0,1,0,0,2,0,617,5
08_EMPTY,0,0,0,0,2,0,228,395
