model,seed,fold,case_id,image_count,class_coverage,accuracy
CNN,181,3,CRC-Prim-HE-04,381,6,0.7532808398950132
CNN,181,4,CRC-Prim-HE-05,661,7,0.7231467473524962
CNN,181,5,CRC-Prim-HE-06,1061,8,0.4062205466540999
CNN,181,6,CRC-Prim-HE-07,503,7,0.7534791252485089
CNN,181,7,CRC-Prim-HE-08,389,6,0.4652956298200514
CNN,181,8,CRC-Prim-HE-09,342,6,0.7631578947368421
CNN,181,9,CRC-Prim-HE-10,238,7,0.8823529411764706
UNI,11,0,CRC-Prim-HE-01,401,6,0.9775561097256857
UNI,11,1,CRC-Prim-HE-02,284,6,0.9049295774647887
UNI,11,2,CRC-Prim-HE-03,740,7,0.7918918918918919
UNI,11,3,CRC-Prim-HE-04,381,6,0.9002624671916011
UNI,11,4,CRC-Prim-HE-05,661,7,0.8456883509833586
UNI,11,5,CRC-Prim-HE-06,1061,8,0.764373232799246
UNI,11,6,CRC-Prim-HE-07,503,7,0.8469184890656064
UNI,11,7,CRC-Prim-HE-08,389,6,0.519280205655527
UNI,11,8,CRC-Prim-HE-09,342,6,0.8099415204678363
UNI,11,9,CRC-Prim-HE-10,238,7,0.9453781512605042
UNI,23,0,CRC-Prim-HE-01,401,6,0.9551122194513716
UNI,23,1,CRC-Prim-HE-02,284,6,0.8485915492957746
UNI,23,2,CRC-Prim-HE-03,740,7,0.8162162162162162
UNI,23,3,CRC-Prim-HE-04,381,6,0.9133858267716536
UNI,23,4,CRC-Prim-HE-05,661,7,0.8411497730711044
UNI,23,5,CRC-Prim-HE-06,1061,8,0.8661639962299718
UNI,23,6,CRC-Prim-HE-07,503,7,0.8508946322067594
UNI,23,7,CRC-Prim-HE-08,389,6,0.5295629820051414
UNI,23,8,CRC-Prim-HE-09,342,6,0.8070175438596491
UNI,23,9,CRC-Prim-HE-10,238,7,0.9705882352941176
UNI,41,0,CRC-Prim-HE-01,401,6,0.9625935162094763
UNI,41,1,CRC-Prim-HE-02,284,6,0.8873239436619719
UNI,41,2,CRC-Prim-HE-03,740,7,0.8
UNI,41,3,CRC-Prim-HE-04,381,6,0.9133858267716536
UNI,41,4,CRC-Prim-HE-05,661,7,0.8562783661119516
UNI,41,5,CRC-Prim-HE-06,1061,8,0.8878416588124411
UNI,41,6,CRC-Prim-HE-07,503,7,0.852882703777336
UNI,41,7,CRC-Prim-HE-08,389,6,0.5295629820051414
UNI,41,8,CRC-Prim-HE-09,342,6,0.7953216374269005
UNI,41,9,CRC-Prim-HE-10,238,7,0.9663865546218487
UNI,57,0,CRC-Prim-HE-01,401,6,0.9650872817955112
UNI,57,1,CRC-Prim-HE-02,284,6,0.9225352112676056
UNI,57,2,CRC-Prim-HE-03,740,7,0.8040540540540541
UNI,57,3,CRC-Prim-HE-04,381,6,0.89501312335958
UNI,57,4,CRC-Prim-HE-05,661,7,0.8426626323751891
UNI,57,5,CRC-Prim-HE-06,1061,8,0.8030160226201697
UNI,57,6,CRC-Prim-HE-07,503,7,0.8469184890656064
UNI,57,7,CRC-Prim-HE-08,389,6,0.5269922879177378
UNI,57,8,CRC-Prim-HE-09,342,6,0.7456140350877193
UNI,57,9,CRC-Prim-HE-10,238,7,0.9831932773109243
UNI,73,0,CRC-Prim-HE-01,401,6,0.9625935162094763
UNI,73,1,CRC-Prim-HE-02,284,6,0.8661971830985915
UNI,73,2,CRC-Prim-HE-03,740,7,0.8027027027027027
UNI,73,3,CRC-Prim-HE-04,381,6,0.905511811023622
UNI,73,4,CRC-Prim-HE-05,661,7,0.848714069591528
UNI,73,5,CRC-Prim-HE-06,1061,8,0.6786050895381716
UNI,73,6,CRC-Prim-HE-07,503,7,0.852882703777336
UNI,73,7,CRC-Prim-HE-08,389,6,0.5167095115681234
UNI,73,8,CRC-Prim-HE-09,342,6,0.804093567251462
UNI,73,9,CRC-Prim-HE-10,238,7,0.9621848739495799
UNI,89,0,CRC-Prim-HE-01,401,6,0.970074812967581
UNI,89,1,CRC-Prim-HE-02,284,6,0.852112676056338
UNI,89,2,CRC-Prim-HE-03,740,7,0.8067567567567567
UNI,89,3,CRC-Prim-HE-04,381,6,0.9081364829396326
UNI,89,4,CRC-Prim-HE-05,661,7,0.8335854765506808
UNI,89,5,CRC-Prim-HE-06,1061,8,0.649387370405278
UNI,89,6,CRC-Prim-HE-07,503,7,0.8389662027833003
UNI,89,7,CRC-Prim-HE-08,389,6,0.5167095115681234
UNI,89,8,CRC-Prim-HE-09,342,6,0.804093567251462
UNI,89,9,CRC-Prim-HE-10,238,7,0.9663865546218487
UNI,101,0,CRC-Prim-HE-01,401,6,0.970074812967581
UNI,101,1,CRC-Prim-HE-02,284,6,0.8908450704225352
UNI,101,2,CRC-Prim-HE-03,740,7,0.8162162162162162
UNI,101,3,CRC-Prim-HE-04,381,6,0.9133858267716536
UNI,101,4,CRC-Prim-HE-05,661,7,0.8456883509833586
UNI,101,5,CRC-Prim-HE-06,1061,8,0.6352497643732328
UNI,101,6,CRC-Prim-HE-07,503,7,0.8469184890656064
UNI,101,7,CRC-Prim-HE-08,389,6,0.5141388174807198
UNI,101,8,CRC-Prim-HE-09,342,6,0.7865497076023392
UNI,101,9,CRC-Prim-HE-10,238,7,0.9705882352941176
UNI,131,0,CRC-Prim-HE-01,401,6,0.9625935162094763
UNI,131,1,CRC-Prim-HE-02,284,6,0.8838028169014085
UNI,131,2,CRC-Prim-HE-03,740,7,0.8094594594594594
UNI,131,3,CRC-Prim-HE-04,381,6,0.9186351706036745
UNI,131,4,CRC-Prim-HE-05,661,7,0.8547655068078669
UNI,131,5,CRC-Prim-HE-06,1061,8,0.8312912346842601
UNI,131,6,CRC-Prim-HE-07,503,7,0.8508946322067594
UNI,131,7,CRC-Prim-HE-08,389,6,0.5347043701799485
UNI,131,8,CRC-Prim-HE-09,342,6,0.8099415204678363
UNI,131,9,CRC-Prim-HE-10,238,7,0.9789915966386554
UNI,151,0,CRC-Prim-HE-01,401,6,0.9750623441396509
UNI,151,1,CRC-Prim-HE-02,284,6,0.9084507042253521
UNI,151,2,CRC-Prim-HE-03,740,7,0.7824324324324324
UNI,151,3,CRC-Prim-HE-04,381,6,0.9002624671916011
UNI,151,4,CRC-Prim-HE-05,661,7,0.8547655068078669
UNI,151,5,CRC-Prim-HE-06,1061,8,0.7681432610744581
UNI,151,6,CRC-Prim-HE-07,503,7,0.852882703777336
UNI,151,7,CRC-Prim-HE-08,389,6,0.5089974293059126
