,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,552,6,36,11,2,18,0,0
02_STROMA,2,360,88,0,159,14,2,0
03_COMPLEX,35,112,431,26,4,17,0,0
04_LYMPHO,193,2,78,331,0,21,0,0
05_DEBRIS,1,328,18,0,160,89,29,0
06_MUCOSA,28,3,16,5,19,554,0,0
07_ADIPOSE,0,0,0,0,94,1,511,19
08_EMPTY,0,0,0,0,1,0,590,34
