,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,434,10,55,48,0,78,0,0
02_STROMA,0,351,55,0,195,23,1,0
03_COMPLEX,7,180,367,42,4,25,0,0
04_LYMPHO,94,0,75,401,0,55,0,0
05_DEBRIS,0,342,11,0,162,80,30,0
06_MUCOSA,18,7,66,15,76,443,0,0
07_ADIPOSE,0,1,0,0,24,5,576,19
08_EMPTY,0,0,0,0,1,0,528,96
