,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,444,5,143,3,1,28,1,0
02_STROMA,0,275,82,1,262,3,2,0
03_COMPLEX,5,148,422,23,14,12,1,0
04_LYMPHO,38,0,91,492,0,4,0,0
05_DEBRIS,0,266,15,0,267,47,30,0
06_MUCOSA,12,5,126,7,27,447,1,0
07_ADIPOSE,0,0,0,0,75,1,505,44
08_EMPTY,0,0,0,0,1,0,590,34
