,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,603,1,19,1,0,1,0,0
02_STROMA,0,461,129,2,31,0,2,0
03_COMPLEX,13,84,475,41,12,0,0,0
04_LYMPHO,2,3,83,537,0,0,0,0
05_DEBRIS,2,223,12,2,380,0,6,0
06_MUCOSA,2,0,1,1,1,620,0,0
07_ADIPOSE,0,1,0,0,4,0,614,6
08_EMPTY,0,1,0,0,2,0,120,502
