,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,471,8,39,20,0,87,0,0
02_STROMA,0,372,120,1,129,1,2,0
03_COMPLEX,13,90,450,36,15,21,0,0
04_LYMPHO,130,0,97,374,0,24,0,0
05_DEBRIS,0,322,25,0,197,36,45,0
06_MUCOSA,35,1,29,15,22,523,0,0
07_ADIPOSE,0,1,0,0,50,0,553,21
08_EMPTY,0,0,0,0,1,0,590,34
