,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,544,6,22,9,2,41,0,1
02_STROMA,0,371,161,0,91,0,2,0
03_COMPLEX,17,93,462,47,1,5,0,0
04_LYMPHO,57,3,48,493,0,24,0,0
05_DEBRIS,0,307,20,0,188,81,29,0
06_MUCOSA,57,13,37,17,36,465,0,0
07_ADIPOSE,20,0,0,0,9,0,582,14
08_EMPTY,0,0,0,0,1,0,590,34
