seed,fold,epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,learning_rate
41,0,1.0,0.5892264960124346,0.2979109060596412,0.8152954808806488,0.9225352112676056,0.8022415361796795,0.7709690348525079,0.001
41,0,2.0,0.14729004542527857,0.29371493509117985,0.9543453070683662,0.8873239436619719,0.9496446669959062,0.7745766872751,0.001
41,0,3.0,0.10460407882756181,0.2617662007540045,0.9733487833140209,0.9014084507042254,0.9706609661230345,0.7894203100343451,0.001
41,0,4.0,0.083796067950278,0.22436379085124378,0.9786790266512166,0.9084507042253521,0.9764473507519988,0.788093782224688,0.001
41,0,5.0,0.06901256104333375,0.2312068024151762,0.9828505214368483,0.8908450704225352,0.9805893209781404,0.7529072125774013,0.001
41,0,6.0,0.06390414250235431,0.26277287283413847,0.9837775202780996,0.8697183098591549,0.9820998816645825,0.7605702476058513,0.0005
41,0,7.0,0.05449170471446401,0.2439110174145497,0.9870220162224798,0.9049295774647887,0.9853707750775482,0.8143535291278109,0.0005
41,0,8.0,0.05034453258833493,0.2645341544084146,0.9891077636152955,0.8802816901408451,0.9877006421494514,0.7825254834352782,0.0005
41,0,9.0,0.04867077827937081,0.2542592874715026,0.9879490150637311,0.8873239436619719,0.98611102582258,0.7744401928957267,0.0005
41,0,10.0,0.045106001096418255,0.25225107728595464,0.9911935110081113,0.8908450704225352,0.9899927749152644,0.8023874315137028,0.00025
41,0,11.0,0.04059148426550772,0.257557643131471,0.9925840092699885,0.8908450704225352,0.991993558167727,0.8023874315137028,0.00025
41,0,12.0,0.03962982705257928,0.2590808524212367,0.9928157589803013,0.8838028169014085,0.9919388389674213,0.7960925171661893,0.00025
41,0,13.0,0.0409303623174996,0.2515797128140087,0.9902665121668598,0.8908450704225352,0.9891095376779923,0.8038075411602831,0.000125
41,0,14.0,0.038309395645215225,0.25924447136865536,0.9923522595596755,0.8873239436619719,0.9913242761949568,0.7999419357214902,0.000125
41,0,15.0,0.03965767248601654,0.2537646377590341,0.9909617612977983,0.8908450704225352,0.9898031822974473,0.8038075411602831,0.000125
41,1,1.0,0.5927320953938263,0.7223185836463362,0.8262072434607646,0.7527027027027027,0.8215894354643889,0.6762896489262924,0.001
41,1,2.0,0.13739856438977377,0.7116365589402818,0.9612676056338029,0.7662162162162162,0.9599206526433903,0.691547231539331,0.001
41,1,3.0,0.10059389879765884,0.7327697965543012,0.9761066398390342,0.7702702702702703,0.975147545731332,0.7083271198012989,0.001
41,1,4.0,0.08216217119748924,0.7283413219693545,0.9801307847082495,0.7756756756756756,0.9793535557841426,0.6564399767771623,0.001
41,1,5.0,0.06785469617642148,0.6972202619386686,0.9808853118712274,0.7743243243243243,0.9800807052109599,0.7137040046585497,0.001
41,1,6.0,0.05818933285248112,0.702953421022441,0.9849094567404426,0.7743243243243243,0.9843686774978351,0.6907139704529501,0.001
41,1,7.0,0.05488947269242534,0.740051377262618,0.9856639839034205,0.7675675675675676,0.9851257661342572,0.6519675796274498,0.001
41,1,8.0,0.04835395735334343,0.8556730649559885,0.9871730382293763,0.7648648648648648,0.9865823399535093,0.6014898377149387,0.0005
41,1,9.0,0.04046344910176767,0.7452299213288603,0.9906941649899397,0.7702702702702703,0.9904167636984014,0.6880409762091906,0.0005
41,1,10.0,0.04075893565311548,0.7557019073415447,0.9914486921529175,0.7675675675675676,0.9911694750025186,0.6520955227502825,0.0005
41,1,11.0,0.03866098284013045,0.7375627767193962,0.9904426559356136,0.772972972972973,0.9900506060474554,0.6559896783758523,0.00025
41,1,12.0,0.03465647232330871,0.7802111173401007,0.9919517102615694,0.7662162162162162,0.9916976359189915,0.6503300640154012,0.00025
41,1,13.0,0.0331088016821555,0.7495737037143192,0.9937122736418511,0.7702702702702703,0.9935675552378429,0.6880409762091906,0.00025
41,2,1.0,0.6077789936822602,0.3718511319848809,0.8159319412219644,0.8608923884514436,0.8079679056421898,0.8252921410831489,0.001
41,2,2.0,0.1380370108698348,0.31222469568878336,0.9623614333591132,0.863517060367454,0.9607235206041875,0.8281815499880204,0.001
41,2,3.0,0.09899203034444826,0.2965222174727072,0.9749935550399588,0.868766404199475,0.9741515079145908,0.8388214653923671,0.001
41,2,4.0,0.08369541217960258,0.27650344475438904,0.9811807166795566,0.8818897637795275,0.9802653246725661,0.8459300592585551,0.001
41,2,5.0,0.0717563288275284,0.3076713145796082,0.9804073214746069,0.8740157480314961,0.9800855663526474,0.8393328534858333,0.001
41,2,6.0,0.05985643362113113,0.2626024604313017,0.9860788863109049,0.8871391076115486,0.9860251382726962,0.8501945291956393,0.001
41,2,7.0,0.05357404272944757,0.26158897752758714,0.9855632895076051,0.8976377952755905,0.9851698816969022,0.8580053755534647,0.001
41,2,8.0,0.045478275620536295,0.26273317569549004,0.988656870327404,0.8976377952755905,0.9885794034748685,0.7345217936642588,0.001
41,2,9.0,0.040925761105189716,0.24822603566987622,0.991492652745553,0.9028871391076115,0.9916090647852562,0.860694715624501,0.001
41,2,10.0,0.03831433690364105,0.31565420897653096,0.9896880639340037,0.884514435695538,0.989862252354858,0.845834594165455,0.001
41,2,11.0,0.034573318291245186,0.2765629986139733,0.991492652745553,0.8976377952755905,0.9916478040600446,0.8580068366446075,0.001
41,2,12.0,0.03483346294103655,0.2741079577819256,0.991492652745553,0.9002624671916011,0.9916862751236757,0.8593368809938026,0.0005
41,2,13.0,0.031112210241658503,0.29096755776505456,0.9925238463521526,0.8976377952755905,0.9925522014858388,0.738776894793773,0.0005
41,2,14.0,0.02766327367969228,0.27252336211131,0.9932972415571023,0.9002624671916011,0.9933836111549448,0.8613337411769123,0.0005
41,2,15.0,0.027924840790624163,0.2832860443887748,0.9930394431554525,0.9002624671916011,0.9932970479721197,0.8635106830090266,0.0005
