,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY
01_TUMOR,604,1,16,3,0,1,0,0
02_STROMA,0,476,125,0,23,0,1,0
03_COMPLEX,19,77,475,44,10,0,0,0
04_LYMPHO,1,2,71,551,0,0,0,0
05_DEBRIS,1,222,18,3,378,0,3,0
06_MUCOSA,1,0,1,1,0,622,0,0
07_ADIPOSE,0,1,0,0,2,0,616,6
08_EMPTY,0,0,0,0,3,0,248,374
